Id	Type	Name	Description	FollowId	SceneId	LevelLimit	Condition	Args0	Args1	DropId	TriggerGuide	UnlockLegacyId	IsBornMission	TargetUI
10017	1	回援Ⅰ	完成剧情关2-7	10018	1027		2	1027	1	10018				1
10018	1	回援Ⅱ	完成剧情关2-8	10019	1028		2	1028	1	10019				1
10019	1	血色营地	完成剧情关2-9	10020	1029		2	1029	1	10020				1
10020	1	回城Ⅰ	完成剧情关3-1	10021	1031		2	1031	1	10021				1
10021	1	回城Ⅱ	完成剧情关3-2	10022	1032		2	1032	1	10022				1
10022	1	最新军情	完成剧情关3-3	10023	1033		2	1033	1	10023				1
10023	1	继续回城	完成剧情关3-4	10024	1034		2	1034	1	10024				1
10024	1	突袭先锋军	完成剧情关3-5	10025	1035		2	1035	1	10025				1
10025	1	雨夜突袭	完成剧情关3-6	10026	1036		2	1036	1	10026				1
10026	1	斩杀朱洛夫	完成剧情关3-7	10027	1037		2	1037	1	10027				1
10027	1	敌人的反击	完成剧情关3-8	10028	1038		2	1038	1	10028				1
10028	1	救世主现身	完成剧情关3-9，开启[ff0000]新神器[-]	10029	1039		2	1039	1	10029		101010		1
10029	1	声东击西	完成剧情关4-1	10030	1041		2	1041	1	10030				1
10030	1	攻破Ⅰ	完成剧情关4-2	10031	1042		2	1042	1	10031				1
10031	1	攻破Ⅱ	完成剧情关4-3	10032	1043		2	1043	1	10032				1
10032	1	追踪布鲁夫Ⅰ	完成剧情关4-4	10033	1044		2	1044	1	10033				1
10033	1	追踪布鲁夫Ⅱ	完成剧情关4-5	10034	1045		2	1045	1	10034				1
10034	1	追踪布鲁夫Ⅲ	完成剧情关4-6	10035	1046		2	1046	1	10035				1
10035	1	布鲁夫王	完成剧情关4-7	10036	1047		2	1047	1	10036				1
10036	1	影刃奇袭	完成剧情关4-8	10037	1048		2	1048	1	10037				1
10037	1	突袭回城	完成剧情关4-9，开启[ff0000]新神器[-]	10038	1049		2	1049	1	10038		101020		1
10038	1	普通关卡	完成剧情关5-1	10039	1051		2	1051	1	10039				1
10039	1	普通关卡	完成剧情关5-2	10040	1052		2	1052	1	10040				1
10040	1	普通关卡	完成剧情关5-3	10041	1053		2	1053	1	10041				1
10041	1	普通关卡	完成剧情关5-4	10042	1054		2	1054	1	10042				1
10042	1	普通关卡	完成剧情关5-5	10043	1055		2	1055	1	10043				1
10043	1	普通关卡	完成剧情关5-6	10044	1056		2	1056	1	10044				1
10044	1	普通关卡	完成剧情关5-7	10045	1057		2	1057	1	10045				1
10045	1	普通关卡	完成剧情关5-8	10046	1058		2	1058	1	10046				1
10046	1	普通关卡	完成剧情关5-9，开启[ff0000]新神器[-]	10047	1059		2	1059	1	10047		101030		1
10047	1	普通关卡	完成剧情关6-1	10048	1061		2	1061	1	10048				1
10048	1	普通关卡	完成剧情关6-2	10049	1062		2	1062	1	10049				1
10049	1	普通关卡	完成剧情关6-3	10050	1063		2	1063	1	10050				1
10050	1	普通关卡	完成剧情关6-4	10051	1064		2	1064	1	10051				1
10051	1	普通关卡	完成剧情关6-5	10052	1065		2	1065	1	10052				1
10052	1	普通关卡	完成剧情关6-6	10053	1066		2	1066	1	10053				1
10053	1	普通关卡	完成剧情关6-7	10054	1067		2	1067	1	10054				1
10054	1	普通关卡	完成剧情关6-8	10055	1068		2	1068	1	10055				1
10055	1	普通关卡	完成剧情关6-9，开启[ff0000]新神器[-]		1069		2	1069	1	10056		101040		1
#挑战任务														
20001	2	西风小道	完成精英关1-2	20002	2012	10	2	2012	1	20001				1
20002	2	激流回廊	完成精英关1-3	20003	2013	10	2	2013	1	20002				1
20003	2	暮光森林	完成精英关1-4	20004	2014	10	2	2014	1	20003				1
20004	2	迪萨城郊	完成精英关1-5	20005	2015	10	2	2015	1	20004				1
20005	2	迪萨城废墟	完成精英关1-6	20006	2016	10	2	2016	1	20005				1
20006	2	迪萨城外	完成精英关1-7	20007	2017	10	2	2017	1	20006				1
20007	2	卡扎营地外	完成精英关1-8	20008	2018	10	2	2018	1	20007				1
20008	2	卡扎营地	完成精英关1-9	20009	2019	10	2	2019	1	20008				1
20009	2	荆棘小道	完成精英关2-1	20010	2021	10	2	2021	1	20009				1
20010	2	夜色矿洞一	完成精英关2-2	20011	2022	10	2	2022	1	20010				1
20011	2	夜色矿洞二	完成精英关2-3	20012	2023	10	2	2023	1	20011				1
20012	2	夜色矿洞三	完成精英关2-4	20013	2024	10	2	2024	1	20012				1
20013	2	死亡沙漠	完成精英关2-5	20014	2025	10	2	2025	1	20013				1
20014	2	圣盔城防线	完成精英关2-6	20015	2026	10	2	2026	1	20014				1
20015	2	圣盔城	完成精英关2-7	20016	2027	10	2	2027	1	20015				1
20016	2	圣盔城外	完成精英关2-8	20017	2028	10	2	2028	1	20016				1
20017	2	夜色东矿区	完成精英关2-9	20018	2029	10	2	2029	1	20017				1
20018	2	夜色矿区外	完成精英关3-1	20019	2031	10	2	2031	1	20018				1
20019	2	莫里古道	完成精英关3-2	20020	2032	10	2	2032	1	20019				1
20020	2	毒雾森林	完成精英关3-3	20021	2033	10	2	2033	1	20020				1
20021	2	芙桑河下游	完成精英关3-4	20022	2034	10	2	2034	1	20021				1
20022	2	芙桑村	完成精英关3-5	20023	2035	10	2	2035	1	20022				1
20023	2	芙桑河上游 	完成精英关3-6	20024	2036	10	2	2036	1	20023				1
20024	2	加里营地	完成精英关3-7	20025	2037	10	2	2037	1	20024				1
20025	2	加里城楼	完成精英关3-8	20026	2038	10	2	2038	1	20025				1
20026	2	城楼顶端	完成精英关3-9	20027	2039	10	2	2039	1	20026				1
20027	2	暗黑矿洞一	完成精英关4-1	20028	2041	10	2	2041	1	20027				1
20028	2	暗黑矿洞二	完成精英关4-2	20029	2042	10	2	2042	1	20028				1
20029	2	月色森林	完成精英关4-3	20030	2043	10	2	2043	1	20029				1
20030	2	索尔城旧址	完成精英关4-4	20031	2044	10	2	2044	1	20030				1
20031	2	暗黑矿洞三	完成精英关4-5	20032	2045	10	2	2045	1	20031				1
20032	2	索尔城郊外	完成精英关4-6	20033	2046	10	2	2046	1	20032				1
20033	2	索尔城	完成精英关4-7	20034	2047	10	2	2047	1	20033				1
20034	2	赤色荒漠	完成精英关4-8	20035	2048	10	2	2048	1	20034				1
20035	2	小圣城	完成精英关4-9	20036	2049	10	2	2049	1	20035				1
20036	2	燃烧森林	完成精英关5-1	20037	2051	10	2	2051	1	20036				1
20037	2	白骨矿洞	完成精英关5-2	20038	2052	10	2	2052	1	20037				1
20038	2	潜伏者营地	完成精英关5-3	20039	2053	10	2	2053	1	20038				1
20039	2	寂静岭	完成精英关5-4	20040	2054	10	2	2054	1	20039				1
20040	2	梦魇矿洞	完成精英关5-5	20041	2055	10	2	2055	1	20040				1
20041	2	蓝城考场	完成精英关5-6	20042	2056	10	2	2056	1	20041				1
20042	2	哀嚎森林	完成精英关5-7	20043	2057	10	2	2057	1	20042				1
20043	2	地狱火之洞	完成精英关5-8	20044	2058	10	2	2058	1	20043				1
20044	2	加德城	完成精英关5-9	20045	2059	10	2	2059	1	20044				1
20045	2	清风森林	完成精英关6-1	20046	2061	10	2	2061	1	20045				1
20046	2	多喇瀑布	完成精英关6-2	20047	2062	10	2	2062	1	20046				1
20047	2	霉雾森林	完成精英关6-3	20048	2063	10	2	2063	1	20047				1
20048	2	迷路者荒漠	完成精英关6-4	20049	2064	10	2	2064	1	20048				1
20049	2	多喇河	完成精英关6-5	20050	2065	10	2	2065	1	20049				1
20050	2	脆歌森林	完成精英关6-6	20051	2066	10	2	2066	1	20050				1
20051	2	沉默小径	完成精英关6-7	20052	2067	10	2	2067	1	20051				1
20052	2	巨人荒漠	完成精英关6-8	20053	2068	10	2	2068	1	20052				1
20053	2	多米亚流域	完成精英关6-9		2069	10	2	2069	1	20053				1
21001	2	迅速成长	提升等级至10级			8	1	10		21001				0
21002	2	迅速成长	提升等级至15级			10	1	15		21002				0
90001	2	三星通关	精英关1-1获得三颗星星	0	2011	13	8	2011	3	90001			TRUE	1
90002	2	更强的装备	精英关1-2获得一颗星星	90003	2012	10	8	2012	1	90002			TRUE	1
90003	2	更强的装备	精英关1-4获得一颗星星	90004	2014	10	8	2014	1	90003				1
90004	2	更强的装备	精英关1-5获得一颗星星	90005	2015	10	8	2015	1	90004				1
90005	2	更强的装备	精英关1-7获得一颗星星	90006	2017	10	8	2017	1	90005				1
90006	2	更强的装备	精英关1-8获得两颗星星	90007	2018	10	8	2018	2	90006				1
90007	2	更强的装备	精英关2-6获得两颗星星	90008	2026	10	8	2026	2	90007				1
90008	2	更强的装备	精英关2-7获得两颗星星	90009	2027	10	8	2027	2	90008				1
90009	2	合成更强的装备	精英关2-8一星获得装备碎片	90010	2028	10	8	2028	1	90009				1
90010	2	更强的装备	精英关3-1一星获得装备碎片	90011	2031	10	8	2031	1	90010				1
90011	2	更强的装备	精英关3-2一星获得装备碎片	90012	2032	10	8	2032	1	90011				1
90012	2	更强的神器	精英关3-3一星获得神器碎片	90013	2033	10	8	2033	1	90012				1
90013	2	更强的装备	精英关3-4一星获得装备碎片	90014	2034	10	8	2034	1	90013				1
90014	2	更强的装备	精英关3-5一星获得装备碎片	90015	2035	10	8	2035	1	90014				1
90015	2	更强的装备	精英关3-6一星获得装备碎片		2036	10	8	2036	1	90015				1
#触发新手引导														
30001	2	尚未开放	敬请期待	0	9000	100	2	9000	1	10001			TRUE	0
#日常任务														
40001	3	战士的坚持	每日完成任意3个关卡	0	2011	19	7	3	0	40001			TRUE	1
50001	3	领取津贴	出勤才可领取当日出勤津贴	0	2011	70	6	0	0	50001				0
60001	3	夺宝奇兵	完成人鱼王的宝藏任意一关	0	4001	19	2	4001	1	60001			TRUE	3
60002	3	金矿寻宝	完成一次金矿洞活动	0	4021	15	2	4021	1	60002			TRUE	3
60003	3	勇者传说	完成一次英雄试炼活动	0	4011	14	2	4011	1	60003			TRUE	3
70001	3	战神之路	参加一次战神赛活动	0	3001	25	2	3001	1	70001			TRUE	2
70002	3	名扬天下	参加一次名人战活动	0	3002	12	2	3002	1	70002			TRUE	2
100001	2	测试奖励	测试奖励，好福利啊！	0		1	6	0	0	100001				0
100002	2	测试奖励	测试奖励，好福利啊！	0		1	6	0	0	100002				0
100003	2	测试奖励	测试奖励，好福利啊！	0		1	6	0	0	100003				0
100004	2	测试奖励	测试奖励，好福利啊！	0		1	6	0	0	100004				0
100005	2	测试奖励	测试奖励，好福利啊！	0		1	1	9	0	100005				0
#月卡任务														
80001	4	月卡	每日回馈	0		1	6	0	0	50001				0
