Id	Description	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange
116		21858700	10000	83100	30000	30000	10	150	115	115					30000		30000		30000			
117		21819000	10000	83900	31000	31000	10	150	115	115					31000		31000		31000			
118		21780000	10000	84700	32000	32000	10	150	115	115					32000		32000		32000			
119		21742000	10000	85400	33000	33000	10	150	115	115					33000		33000		33000			
120		21704700	10000	86200	34000	34000	10	150	115	115					34000		34000		34000			
121		21668300	10000	86900	35000	35000	10	150	115	115					35000		35000		35000			
122		21632500	10000	87700	36000	36000	10	150	115	115					36000		36000		36000			
123		21597600	10000	88500	37000	37000	10	150	115	115					37000		37000		37000			
124		21563300	10000	89200	38000	38000	10	150	115	115					38000		38000		38000			
125		21529700	10000	90000	39000	39000	10	150	115	115					39000		39000		39000			
126		21496800	10000	90700	40000	40000	10	150	115	115					40000		40000		40000			
127		21464600	10000	91500	41000	41000	10	150	115	115					41000		41000		41000			
128		21433000	10000	92300	42000	42000	10	150	115	115					42000		42000		42000			
129		21402000	10000	93000	43000	43000	10	150	115	115					43000		43000		43000			
130		21371600	10000	93800	44000	44000	10	150	115	115					44000		44000		44000			
131		21341800	10000	94500	45000	45000	10	150	115	115					45000		45000		45000			
132		21312500	10000	95300	46000	46000	10	150	115	115					46000		46000		46000			
133		21238900	10000	95900	47000	47000	10	150	115	115					47000		47000		47000			
134		21166700	10000	96400	48000	48000	10	150	115	115					48000		48000		48000			
135		21238900	10000	97600	49000	49000	10	150	115	115					49000		49000		49000			
136		21309900	10000	98800	50000	50000	10	150	115	115					50000		50000		50000			
137		21239000	10000	99400	51000	51000	10	150	115	115					51000		51000		51000			
138		21169300	10000	99900	52000	52000	10	150	115	115					52000		52000		52000			
139		21100900	10000	100500	53000	53000	10	150	115	115					53000		53000		53000			
140		21033700	10000	101000	54000	54000	10	150	115	115					54000		54000		54000			
141		20967700	10000	101600	55000	55000	10	150	115	115					55000		55000		55000			
142		20902800	10000	102200	56000	56000	10	150	115	115					56000		56000		56000			
143		20839000	10000	102700	57000	57000	10	150	115	115					57000		57000		57000			
144		20776300	10000	103300	58000	58000	10	150	115	115					58000		58000		58000			
145		20714700	10000	103800	59000	59000	10	150	115	115					59000		59000		59000			
146		20654000	10000	104400	60000	60000	10	150	115	115					60000		60000		60000			
147		20766000	10000	105000	60000	60000	10	150	115	115					60000		60000		60000			
148		20878000	10000	105500	60000	60000	10	150	115	115					60000		60000		60000			
149		20990000	10000	106100	60000	60000	10	150	115	115					60000		60000		60000			
150		21102000	10000	106600	60000	60000	10	150	115	115					60000		60000		60000			
151		21214000	10000	107200	60000	60000	10	150	115	115					60000		60000		60000			
152		21326000	10000	107800	60000	60000	10	150	115	115					60000		60000		60000			
153		21438000	10000	108300	60000	60000	10	150	115	115					60000		60000		60000			
154		21550000	10000	108900	60000	60000	10	150	115	115					60000		60000		60000			
155		21662000	10000	109400	60000	60000	10	150	115	115					60000		60000		60000			
156		21774000	10000	110000	60000	60000	10	150	115	115					60000		60000		60000			
157		21886000	10000	110600	60000	60000	10	150	115	115					60000		60000		60000			
158		21998000	10000	111100	60000	60000	10	150	115	115					60000		60000		60000			
159		22110000	10000	111700	60000	60000	10	150	115	115					60000		60000		60000			
160		22222000	10000	112200	60000	60000	10	150	115	115					60000		60000		60000			
161		22334000	10000	112800	60000	60000	10	150	115	115					60000		60000		60000			
162		22446000	10000	113400	60000	60000	10	150	115	115					60000		60000		60000			
163		22558000	10000	113900	60000	60000	10	150	115	115					60000		60000		60000			
164		22670000	10000	114500	60000	60000	10	150	115	115					60000		60000		60000			
165		22782000	10000	115000	60000	60000	10	150	115	115					60000		60000		60000			
166		22894000	10000	115600	60000	60000	10	150	115	115					60000		60000		60000			
167		23006000	10000	116200	60000	60000	10	150	115	115					60000		60000		60000			
168		23118000	10000	116700	60000	60000	10	150	115	115					60000		60000		60000			
169		23230000	10000	117300	60000	60000	10	150	115	115					60000		60000		60000			
170		23342000	10000	117800	60000	60000	10	150	115	115					60000		60000		60000			
1001		129700	10000	4400	0	0	10	150	115	115												
1002		148500	10000	4700	0	0	10	150	115	115												
1003		167900	10000	5200	0	0	10	150	115	115												
1004		187600	10000	5500	0	0	10	150	115	115												
1005		207900	10000	5900	0	0	10	150	115	115												
1006		228600	10000	6400	0	0	10	150	115	115												
1007		249900	10000	6700	0	0	10	150	115	115												
1008		271600	10000	7200	0	0	10	150	115	115												
1009		293700	10000	7500	0	0	10	150	115	115												
1010		316500	10000	8000	0	0	10	150	115	115												
1011		339600	10000	8400	0	0	10	150	115	115												
1012		367700	10000	8800	0	0	10	150	115	115												
1013		396700	10000	9200	0	0	10	150	115	115												
1014		426700	10000	9600	0	0	10	150	115	115												
1015		457600	10000	10000	0	0	10	150	115	115												
1016		489600	10000	10400	0	0	10	150	115	115												
1017		522500	10000	10800	0	0	10	150	115	115												
1018		556300	10000	11200	0	0	10	150	115	115												
1019		591200	10000	11600	0	0	10	150	115	115												
1020		632000	10000	12100	0	0	10	150	115	115												
1021		670800	10000	12500	0	0	10	150	115	115												
1022		717800	10000	13000	0	0	10	150	115	115												
1023		766300	10000	13400	0	0	10	150	115	115												
1024		810600	10000	13800	0	0	10	150	115	115												
1025		865600	10000	14300	0	0	10	150	115	115												
1026		939600	10000	15000	0	0	10	150	115	115												
1027		967100	10000	15400	0	0	10	150	115	115												
1028		1026700	10000	15900	0	0	10	150	115	115												
1029		1088000	10000	16400	0	0	10	150	115	115												
1030		1151100	10000	16900	0	0	10	150	115	115												
1031		1215900	10000	17400	0	0	10	150	115	115												
1032		1282500	10000	17900	0	0	10	150	115	115												
1033		1361000	10000	18400	0	0	10	150	115	115												
1034		1441700	10000	18900	0	0	10	150	115	115												
1035		1547000	10000	19600	0	0	10	150	115	115												
1036		1628600	10000	20000	0	0	10	150	115	115												
1037		1712100	10000	20500	0	0	10	150	115	115												
1038		1797900	10000	20900	0	0	10	150	115	115												
1039		1885700	10000	21300	0	0	10	150	115	115												
1040		1992400	10000	22000	0	0	10	150	115	115												
1041		2098500	10000	22600	0	0	10	150	115	115												
1042		2207400	10000	23200	0	0	10	150	115	115												
1043		2319100	10000	23700	0	0	10	150	115	115												
1044		2433500	10000	24300	0	0	10	150	115	115												
1045		2550600	10000	24900	0	0	10	150	115	115												
1046		2660900	10000	25400	0	0	10	150	115	115												
1047		2743000	10000	26100	0	0	10	150	115	115												
1048		2867300	10000	26700	0	0	10	150	115	115												
1049		3009700	10000	27200	0	0	10	150	115	115												
1050		3155500	10000	27900	0	0	10	150	115	115												
1051		3304800	10000	28500	0	0	10	150	115	115												
1052		3450900	10000	29000	0	0	10	150	115	115												
1053		3600100	10000	29500	0	0	10	150	115	115												
1054		3752500	10000	30100	0	0	10	150	115	115												
1055		3908000	10000	30600	0	0	10	150	115	115												
1056		4066600	10000	31100	0	0	10	150	115	115												
1057		4228300	10000	31600	0	0	10	150	115	115												
1058		4576000	10000	32200	0	0	10	150	115	115												
1059		4821400	10000	32500	0	0	10	150	115	115												
1060		4936300	10000	33300	0	0	10	150	115	115												
1061		5232800	10000	33900	0	0	10	150	115	115												
1062		5537300	10000	34600	0	0	10	150	115	115												
1063		5849700	10000	35200	0	0	10	150	115	115												
1064		6169800	10000	36000	0	0	10	150	115	115												
1065		6498100	10000	36700	0	0	10	150	115	115												
1066		6834100	10000	37300	0	0	10	150	115	115												
1067		7178100	10000	38000	0	0	10	150	115	115												
1068		7530000	10000	38600	0	0	10	150	115	115												
1069		8133900	10000	39400	0	0	10	150	115	115												
1070		8724100	10000	40000	0	0	10	150	115	115												
1071		9328800	10000	40600	0	0	10	150	115	115												
1072		9948200	10000	41200	0	0	10	150	115	115												
1073		10582000	10000	41800	0	0	10	150	115	115												
1074		11230500	10000	42500	0	0	10	150	115	115												
1075		11893500	10000	43100	0	0	10	150	115	115												
1076		12571000	10000	43700	0	0	10	150	115	115												
1077		13306500	10000	44500	0	0	10	150	115	115												
1078		13712100	10000	45700	0	0	10	150	115	115												
1079		14481000	10000	46500	0	0	10	150	115	115												
1080		15267800	10000	47300	0	0	10	150	115	115												
1081		16072300	10000	48000	0	0	10	150	115	115												
1082		16894800	10000	48800	0	0	10	150	115	115												
1083		17735300	10000	49500	0	0	10	150	115	115												
1084		18218900	10000	50800	0	0	10	150	115	115												
1085		19092900	10000	51600	0	0	10	150	115	115												
1086		19984700	10000	52300	0	0	10	150	115	115												
1087		20894300	10000	53100	0	0	10	150	115	115												
1088		21118000	10000	53800	2000	2000	10	150	115	115					2000		2000		2000			
1089		21302800	10000	55100	3000	3000	10	150	115	115					3000		3000		3000			
1090		21835800	10000	55800	4000	4000	10	150	115	115					4000		4000		4000			
1091		22367100	10000	56500	5000	5000	10	150	115	115					5000		5000		5000			
1092		22896600	10000	57200	6000	6000	10	150	115	115					6000		6000		6000			
1093		23424400	10000	57900	7000	7000	10	150	115	115					7000		7000		7000			
1094		23950700	10000	58500	8000	8000	10	150	115	115					8000		8000		8000			
1095		24475400	10000	59200	9000	9000	10	150	115	115					9000		9000		9000			
1096		24998800	10000	59800	10000	10000	10	150	115	115					10000		10000		10000			
1097		25520700	10000	60500	11000	11000	10	150	115	115					11000		11000		11000			
1098		26041400	10000	61200	12000	12000	10	150	115	115					12000		12000		12000			
1099		26560700	10000	61800	13000	13000	10	150	115	115					13000		13000		13000			
1100		27078800	10000	62500	14000	14000	10	150	115	115					14000		14000		14000			
1101		27595800	10000	63100	15000	15000	10	150	115	115					15000		15000		15000			
1102		28111600	10000	63800	16000	16000	10	150	115	115					16000		16000		16000			
1103		28626400	10000	64600	17000	17000	10	150	115	115					17000		17000		17000			
1104		29140100	10000	65200	18000	18000	10	150	115	115					18000		18000		18000			
1105		29071400	10000	65900	19000	19000	10	150	115	115					19000		19000		19000			
1106		29004300	10000	66500	20000	20000	10	150	115	115					20000		20000		20000			
1107		28939100	10000	67200	21000	21000	10	150	115	115					21000		21000		21000			
1108		28875400	10000	67900	22000	22000	10	150	115	115					22000		22000		22000			
1109		28813100	10000	68500	23000	23000	10	150	115	115					23000		23000		23000			
1110		28752400	10000	69200	24000	24000	10	150	115	115					24000		24000		24000			
1111		28693100	10000	69800	25000	25000	10	150	115	115					25000		25000		25000			
1112		28635100	10000	70500	26000	26000	10	150	115	115					26000		26000		26000			
1113		28578600	10000	71200	27000	27000	10	150	115	115					27000		27000		27000			
1114		28523300	10000	71900	28000	28000	10	150	115	115					28000		28000		28000			
1115		28469300	10000	72600	29000	29000	10	150	115	115					29000		29000		29000			
1116		28416400	10000	73200	30000	30000	10	150	115	115					30000		30000		30000			
1117		28364700	10000	73900	31000	31000	10	150	115	115					31000		31000		31000			
1118		28314000	10000	74600	32000	32000	10	150	115	115					32000		32000		32000			
1119		28264600	10000	75200	33000	33000	10	150	115	115					33000		33000		33000			
1120		28216200	10000	75900	34000	34000	10	150	115	115					34000		34000		34000			
1121		28168800	10000	76500	35000	35000	10	150	115	115					35000		35000		35000			
1122		28122300	10000	77200	36000	36000	10	150	115	115					36000		36000		36000			
1123		28076900	10000	77900	37000	37000	10	150	115	115					37000		37000		37000			
1124		28032300	10000	78500	38000	38000	10	150	115	115					38000		38000		38000			
1125		27988700	10000	79200	39000	39000	10	150	115	115					39000		39000		39000			
1126		27945900	10000	79900	40000	40000	10	150	115	115					40000		40000		40000			
1127		27904000	10000	80600	41000	41000	10	150	115	115					41000		41000		41000			
1128		27862900	10000	81300	42000	42000	10	150	115	115					42000		42000		42000			
1129		27822600	10000	81900	43000	43000	10	150	115	115					43000		43000		43000			
1130		27783100	10000	82600	44000	44000	10	150	115	115					44000		44000		44000			
1131		27744400	10000	83200	45000	45000	10	150	115	115					45000		45000		45000			
1132		27706300	10000	83900	46000	46000	10	150	115	115					46000		46000		46000			
1133		27610600	10000	84400	47000	47000	10	150	115	115					47000		47000		47000			
1134		27516800	10000	84900	48000	48000	10	150	115	115					48000		48000		48000			
1135		27610600	10000	85900	49000	49000	10	150	115	115					49000		49000		49000			
1136		27702900	10000	87000	50000	50000	10	150	115	115					50000		50000		50000			
1137		27610700	10000	87500	51000	51000	10	150	115	115					51000		51000		51000			
1138		27520100	10000	88000	52000	52000	10	150	115	115					52000		52000		52000			
1139		27431200	10000	88500	53000	53000	10	150	115	115					53000		53000		53000			
1140		27343900	10000	88900	54000	54000	10	150	115	115					54000		54000		54000			
1141		27258100	10000	89500	55000	55000	10	150	115	115					55000		55000		55000			
1142		27173700	10000	90000	56000	56000	10	150	115	115					56000		56000		56000			
1143		27090700	10000	90400	57000	57000	10	150	115	115					57000		57000		57000			
1144		27009200	10000	91000	58000	58000	10	150	115	115					58000		58000		58000			
1145		26929200	10000	91400	59000	59000	10	150	115	115					59000		59000		59000			
1146		26850200	10000	91900	60000	60000	10	150	115	115					60000		60000		60000			
1147		26995800	10000	92400	60000	60000	10	150	115	115					60000		60000		60000			
1148		27141400	10000	92900	60000	60000	10	150	115	115					60000		60000		60000			
1149		27287000	10000	93400	60000	60000	10	150	115	115					60000		60000		60000			
1150		27432600	10000	93900	60000	60000	10	150	115	115					60000		60000		60000			
1151		27578200	10000	94400	60000	60000	10	150	115	115					60000		60000		60000			
1152		27723800	10000	94900	60000	60000	10	150	115	115					60000		60000		60000			
1153		27869400	10000	95400	60000	60000	10	150	115	115					60000		60000		60000			
1154		28015000	10000	95900	60000	60000	10	150	115	115					60000		60000		60000			
1155		28160600	10000	96300	60000	60000	10	150	115	115					60000		60000		60000			
1156		28306200	10000	96800	60000	60000	10	150	115	115					60000		60000		60000			
1157		28451800	10000	97400	60000	60000	10	150	115	115					60000		60000		60000			
1158		28597400	10000	97800	60000	60000	10	150	115	115					60000		60000		60000			
1159		28743000	10000	98300	60000	60000	10	150	115	115					60000		60000		60000			
1160		28888600	10000	98800	60000	60000	10	150	115	115					60000		60000		60000			
1161		29034200	10000	99300	60000	60000	10	150	115	115					60000		60000		60000			
1162		29179800	10000	99800	60000	60000	10	150	115	115					60000		60000		60000			
1163		29325400	10000	100300	60000	60000	10	150	115	115					60000		60000		60000			
1164		29471000	10000	100800	60000	60000	10	150	115	115					60000		60000		60000			
1165		29616600	10000	101200	60000	60000	10	150	115	115					60000		60000		60000			
1166		29762200	10000	101800	60000	60000	10	150	115	115					60000		60000		60000			
1167		29907800	10000	102300	60000	60000	10	150	115	115					60000		60000		60000			
1168		30053400	10000	102700	60000	60000	10	150	115	115					60000		60000		60000			
1169		30199000	10000	103300	60000	60000	10	150	115	115					60000		60000		60000			
1170		30344600	10000	103700	60000	60000	10	150	115	115					60000		60000		60000			
2001		79800	10000	6400	0	0	10	150	115	115												
2002		91400	10000	6900	0	0	10	150	115	115												
2003		103300	10000	7600	0	0	10	150	115	115												
2004		115500	10000	8100	0	0	10	150	115	115												
2005		128000	10000	8800	0	0	10	150	115	115												
2006		140700	10000	9400	0	0	10	150	115	115												
2007		153800	10000	9900	0	0	10	150	115	115												
2008		167200	10000	10600	0	0	10	150	115	115												
2009		180800	10000	11100	0	0	10	150	115	115												
2010		194800	10000	11700	0	0	10	150	115	115												
2011		209000	10000	12400	0	0	10	150	115	115												
2012		226300	10000	12900	0	0	10	150	115	115												
2013		244100	10000	13600	0	0	10	150	115	115												
2014		262600	10000	14100	0	0	10	150	115	115												
2015		281600	10000	14700	0	0	10	150	115	115												
2016		301300	10000	15400	0	0	10	150	115	115												
2017		321600	10000	15900	0	0	10	150	115	115												
2018		342400	10000	16600	0	0	10	150	115	115												
2019		363800	10000	17100	0	0	10	150	115	115												
2020		388900	10000	17900	0	0	10	150	115	115												
2021		412800	10000	18500	0	0	10	150	115	115												
2022		441700	10000	19200	0	0	10	150	115	115												
2023		471600	10000	19800	0	0	10	150	115	115												
2024		498800	10000	20300	0	0	10	150	115	115												
2025		532700	10000	21100	0	0	10	150	115	115												
2026		578200	10000	22100	0	0	10	150	115	115												
2027		595200	10000	22800	0	0	10	150	115	115												
2028		631800	10000	23400	0	0	10	150	115	115												
2029		669600	10000	24200	0	0	10	150	115	115												
2030		708400	10000	24900	0	0	10	150	115	115												
2031		748300	10000	25700	0	0	10	150	115	115												
2032		789200	10000	26400	0	0	10	150	115	115												
2033		837600	10000	27100	0	0	10	150	115	115												
2034		887200	10000	27900	0	0	10	150	115	115												
2035		952000	10000	28900	0	0	10	150	115	115												
2036		1002200	10000	29600	0	0	10	150	115	115												
2037		1053600	10000	30200	0	0	10	150	115	115												
2038		1106400	10000	30900	0	0	10	150	115	115												
2039		1160400	10000	31500	0	0	10	150	115	115												
2040		1226100	10000	32400	0	0	10	150	115	115												
2041		1291400	10000	33300	0	0	10	150	115	115												
2042		1358400	10000	34200	0	0	10	150	115	115												
2043		1427200	10000	35000	0	0	10	150	115	115												
2044		1497600	10000	35900	0	0	10	150	115	115												
2045		1569600	10000	36700	0	0	10	150	115	115												
2046		1637500	10000	37500	0	0	10	150	115	115												
2047		1688000	10000	38500	0	0	10	150	115	115												
2048		1764500	10000	39400	0	0	10	150	115	115												
2049		1852100	10000	40200	0	0	10	150	115	115												
2050		1941900	10000	41100	0	0	10	150	115	115												
2051		2033700	10000	42000	0	0	10	150	115	115												
2052		2123600	10000	42800	0	0	10	150	115	115												
2053		2215500	10000	43600	0	0	10	150	115	115												
2054		2309200	10000	44400	0	0	10	150	115	115												
2055		2404900	10000	45200	0	0	10	150	115	115												
2056		2502500	10000	45900	0	0	10	150	115	115												
2057		2602000	10000	46700	0	0	10	150	115	115												
2058		2816000	10000	47500	0	0	10	150	115	115												
2059		2967000	10000	48000	0	0	10	150	115	115												
2060		3037700	10000	49200	0	0	10	150	115	115												
2061		3220200	10000	50100	0	0	10	150	115	115												
2062		3407600	10000	51100	0	0	10	150	115	115												
2063		3599800	10000	52000	0	0	10	150	115	115												
2064		3796800	10000	53100	0	0	10	150	115	115												
2065		3998800	10000	54100	0	0	10	150	115	115												
2066		4205600	10000	55000	0	0	10	150	115	115												
2067		4417300	10000	56100	0	0	10	150	115	115												
2068		4633900	10000	57000	0	0	10	150	115	115												
2069		5005500	10000	58200	0	0	10	150	115	115												
2070		5368700	10000	59100	0	0	10	150	115	115												
2071		5740800	10000	60000	0	0	10	150	115	115												
2072		6122000	10000	60900	0	0	10	150	115	115												
2073		6512000	10000	61800	0	0	10	150	115	115												
2074		6911100	10000	62700	0	0	10	150	115	115												
2075		7319100	10000	63600	0	0	10	150	115	115												
2076		7736000	10000	64500	0	0	10	150	115	115												
2077		8188600	10000	65700	0	0	10	150	115	115												
2078		8438200	10000	67500	0	0	10	150	115	115												
2079		8911400	10000	68700	0	0	10	150	115	115												
2080		9395600	10000	69900	0	0	10	150	115	115												
2081		9890700	10000	70900	0	0	10	150	115	115												
2082		10396800	10000	72100	0	0	10	150	115	115												
2083		10914000	10000	73100	0	0	10	150	115	115												
2084		11211600	10000	75100	0	0	10	150	115	115												
2085		11749500	10000	76200	0	0	10	150	115	115												
2086		12298300	10000	77300	0	0	10	150	115	115												
2087		12858000	10000	78400	0	0	10	150	115	115												
2088		12995700	10000	79500	2000	2000	10	150	115	115					2000		2000		2000			
2089		13109400	10000	81400	3000	3000	10	150	115	115					3000		3000		3000			
2090		13437400	10000	82500	4000	4000	10	150	115	115					4000		4000		4000			
2091		13764400	10000	83400	5000	5000	10	150	115	115					5000		5000		5000			
2092		14090200	10000	84400	6000	6000	10	150	115	115					6000		6000		6000			
2093		14415000	10000	85500	7000	7000	10	150	115	115					7000		7000		7000			
2094		14738900	10000	86400	8000	8000	10	150	115	115					8000		8000		8000			
2095		15061800	10000	87400	9000	9000	10	150	115	115					9000		9000		9000			
2096		15383900	10000	88300	10000	10000	10	150	115	115					10000		10000		10000			
2097		15705100	10000	89400	11000	11000	10	150	115	115					11000		11000		11000			
2098		16025500	10000	90400	12000	12000	10	150	115	115					12000		12000		12000			
2099		16345100	10000	91300	13000	13000	10	150	115	115					13000		13000		13000			
2100		16663900	10000	92300	14000	14000	10	150	115	115					14000		14000		14000			
2101		16982000	10000	93300	15000	15000	10	150	115	115					15000		15000		15000			
2102		17299500	10000	94300	16000	16000	10	150	115	115					16000		16000		16000			
2103		17616300	10000	95300	17000	17000	10	150	115	115					17000		17000		17000			
2104		17932400	10000	96200	18000	18000	10	150	115	115					18000		18000		18000			
2105		17890100	10000	97300	19000	19000	10	150	115	115					19000		19000		19000			
2106		17848800	10000	98200	20000	20000	10	150	115	115					20000		20000		20000			
2107		17808700	10000	99200	21000	21000	10	150	115	115					21000		21000		21000			
2108		17769500	10000	100300	22000	22000	10	150	115	115					22000		22000		22000			
2109		17731200	10000	101200	23000	23000	10	150	115	115					23000		23000		23000			
2110		17693800	10000	102200	24000	24000	10	150	115	115					24000		24000		24000			
2111		17657300	10000	103100	25000	25000	10	150	115	115					25000		25000		25000			
2112		17621600	10000	104200	26000	26000	10	150	115	115					26000		26000		26000			
2113		17586800	10000	105200	27000	27000	10	150	115	115					27000		27000		27000			
2114		17552800	10000	106100	28000	28000	10	150	115	115					28000		28000		28000			
2115		17519600	10000	107200	29000	29000	10	150	115	115					29000		29000		29000			
