ItemId	ItemName	ItemTrueName	ItemCategory	ItemType	Description	CanWear	WearParts	WearLevel	CompoundItemId	Grade	CanUpgrade	CanDeve	ItemSourceScene	ItemSourceDesc	ElementType	AttachedProperty	TalentType	TalentAttributes	ActiveAttributes	Inlay	Weight	ExperienceProvide	UseLogicId	UseResultDesc	UseResultData	UseIconOnLevel	WearNodeAndName	UseModelOnLevel	ActiveBuffOnLevel	AddBuffOnEquiping	AddSkillOnEquiping	ShowInShop	Model	UiModel	MaxStackNum	ConsumeItems	ConsumeMoney	PropertyRank	AddExp	AddMoney	AddBuffer	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange	Introduce	ItemSkillFirst	ItemSkillSecond	ItemSkillThird	NormalIcon	BigIcon	SellingPrice	SellGainGoldProb	SellGainGoldNum	LevelUpAddHpMax	LevelUpAddEpMax	LevelUpAddAd	LevelUpAddADp	LevelUpAddMDp	ShowType
36102	冰花冠	UI/GoodsPhoto/36102		帽子		TRUE	1				TRUE	TRUE				44004|44005|44006																			1			3				14850				2160																							300	1	1	1215				303	
36103	冰晶服	UI/GoodsPhoto/36103		衣服		TRUE	2				TRUE	TRUE				44004|44005|44006																			1			3				24750			2160																								300	1	1	2025			303		
36104	冰晶鞋	UI/GoodsPhoto/36104		鞋子		TRUE	3				TRUE	TRUE				44004|44005|44006																			1			3							1440	1440																							300	1	1				202	202	
36105	冰锥项链	UI/GoodsPhoto/36105		饰品		TRUE	4				TRUE	TRUE				44001|44002|44003																			1			3						1530																									300	1	1			162			
36106	冰花戒指	UI/GoodsPhoto/36106		指环		TRUE	5				TRUE	TRUE				44001|44002|44003																			1			3				9900		1530																									300	1	1	810		162			
36107	冰凰刺	UI/GoodsPhoto/36107		武器		TRUE	0				TRUE	TRUE				44001|44002|44003																			1			3						4590																									300	1	1			486			
36108	冰晶拳套	UI/GoodsPhoto/36108		武器		TRUE	0				TRUE	TRUE				44001|44002|44003																			1			3						4590																									300	1	1			486			
43101	炎剑	UI/GoodsPhoto/44101		武器	烈焰之剑，会触发火元素伤害	TRUE	0				TRUE	TRUE			1	44001|44002|44003																			1			4						4680																									400	1	1			486			
43107	炎刃	UI/GoodsPhoto/44107		武器	烈焰之刃，会触发火元素伤害	TRUE	0				TRUE	TRUE			1	44001|44002|44003																			1			4						4680																									400	1	1			486			
43108	炎拳	UI/GoodsPhoto/99999		武器	烈焰之拳，会触发火元素伤害	TRUE	0				TRUE	TRUE			1	44001|44002|44003																			1			4						4680																									400	1	1			486			
44101	洛基·火麟	UI/GoodsPhoto/44101		武器	火神洛基是个闹腾的美男子，他用自身经历解释了什么叫玩火自焚	TRUE	0				TRUE	TRUE			1	44001|44002|44003																			1			4						4680																									400	1	1			569			
44102	洛基·赤焰	UI/GoodsPhoto/44102		帽子	火神洛基是个闹腾的美男子，他用自身经历解释了什么叫玩火自焚	TRUE	1				TRUE	TRUE				44004|44005|44006																			1			4				16200				1980																							400	1	1	1422				355	
44103	洛基·龙炎	UI/GoodsPhoto/44103		衣服	火神洛基是个闹腾的美男子，他用自身经历解释了什么叫玩火自焚	TRUE	2				TRUE	TRUE				44004|44005|44006																			1			4				27000			1980																								400	1	1	2370			355		
44104	洛基·踏火	UI/GoodsPhoto/44104		鞋子	火神洛基是个闹腾的美男子，他用自身经历解释了什么叫玩火自焚	TRUE	3				TRUE	TRUE				44004|44005|44006																			1			4							1320	1320																							400	1	1				237	237	
44105	洛基·火龙	UI/GoodsPhoto/44105		饰品	火神洛基是个闹腾的美男子，他用自身经历解释了什么叫玩火自焚	TRUE	4				TRUE	TRUE				44001|44002|44003																			1			4						1560																									400	1	1			190			
44106	洛基·凤尾	UI/GoodsPhoto/44106		指环	火神洛基是个闹腾的美男子，他用自身经历解释了什么叫玩火自焚	TRUE	5				TRUE	TRUE				44001|44002|44003																			1			4				10800		1560																									400	1	1	948		190			
44107	洛基·烈焰	UI/GoodsPhoto/44107		武器	火神洛基是个闹腾的美男子，他用自身经历解释了什么叫玩火自焚	TRUE	0				TRUE	TRUE			1	44001|44002|44003																			1			4						4680																									400	1	1			569			
44108	洛基·烈火	UI/GoodsPhoto/99999		武器	火神洛基是个闹腾的美男子，他用自身经历解释了什么叫玩火自焚	TRUE	0				TRUE	TRUE			1	44001|44002|44003																			1			4						4680																									400	1	1			569			
45101	夫雷·王者	UI/GoodsPhoto/45101		武器	太阳神夫雷，美丽仙国阿尔弗海姆的国王	TRUE	0				TRUE	TRUE			1	45001|45002|45003																			1			4						5400																									400	1	1			648			
45102	夫雷·旭日	UI/GoodsPhoto/45102		帽子	太阳神夫雷，美丽仙国阿尔弗海姆的国王	TRUE	1				TRUE	TRUE				45004|45005|45006																			1			4				18000				2430																							400	1	1	1620				405	
45103	夫雷·极光	UI/GoodsPhoto/45103		衣服	太阳神夫雷，美丽仙国阿尔弗海姆的国王	TRUE	2				TRUE	TRUE				45004|45005|45006																			1			4				30000			2430																								400	1	1	2700			405		
45104	夫雷·芒星	UI/GoodsPhoto/45104		鞋子	太阳神夫雷，美丽仙国阿尔弗海姆的国王	TRUE	3				TRUE	TRUE				45004|45005|45006																			1			4							1620	1620																							400	1	1				270	270	
45105	夫雷·红日	UI/GoodsPhoto/45105		饰品	太阳神夫雷，美丽仙国阿尔弗海姆的国王	TRUE	4				TRUE	TRUE				45001|45002|45003																			1			4						1800																									400	1	1			216			
45106	夫雷·日之晶	UI/GoodsPhoto/45106		指环	太阳神夫雷，美丽仙国阿尔弗海姆的国王	TRUE	5				TRUE	TRUE				45001|45002|45003																			1			4				12000		1800																									400	1	1	1080		216			
45107	夫雷·炫目	UI/GoodsPhoto/45107		武器	太阳神夫雷，美丽仙国阿尔弗海姆的国王	TRUE	0				TRUE	TRUE			1	45001|45002|45003																			1			4						5400																									400	1	1			648			
45108	夫雷·骄阳	UI/GoodsPhoto/99999		武器	太阳神夫雷，美丽仙国阿尔弗海姆的国王	TRUE	0				TRUE	TRUE			1	45001|45002|45003																			1			4						5400																									400	1	1			648			
45201	西芙·海潮	UI/GoodsPhoto/45201		武器	西芙公主，人鱼王的爱女，拥有操控大海的惊人力量	TRUE	0				TRUE	TRUE			1	45010|45011|45012																			1			4						5400																									400	1	1			648			
45202	西芙·海鱼	UI/GoodsPhoto/45202		帽子	西芙公主，人鱼王的爱女，拥有操控大海的惊人力量	TRUE	1				TRUE	TRUE				45010|45011|45012																			1			4				18000				2430																							400	1	1	1620				405	
45203	西芙·海龙	UI/GoodsPhoto/45203		衣服	西芙公主，人鱼王的爱女，拥有操控大海的惊人力量	TRUE	2				TRUE	TRUE				45010|45011|45012																			1			4				30000			2430																								400	1	1	2700			405		
45204	西芙·龙鳞	UI/GoodsPhoto/45204		鞋子	西芙公主，人鱼王的爱女，拥有操控大海的惊人力量	TRUE	3				TRUE	TRUE				45010|45011|45012																			1			4							1620	1620																							400	1	1				270	270	
45205	西芙·海星	UI/GoodsPhoto/45205		饰品	西芙公主，人鱼王的爱女，拥有操控大海的惊人力量	TRUE	4				TRUE	TRUE				45010|45011|45012																			1			4						1800																									400	1	1			216			
45206	西芙·小贝	UI/GoodsPhoto/45206		指环	西芙公主，人鱼王的爱女，拥有操控大海的惊人力量	TRUE	5				TRUE	TRUE				45010|45011|45012																			1			4				12000		1800																									400	1	1	1080		216			
45207	西芙·海之沫	UI/GoodsPhoto/45207		武器	西芙公主，人鱼王的爱女，拥有操控大海的惊人力量	TRUE	0				TRUE	TRUE			1	45010|45011|45012																			1			4						5400																									400	1	1			648			
45208	西芙·鱼之肌	UI/GoodsPhoto/99999		武器	西芙公主，人鱼王的爱女，拥有操控大海的惊人力量	TRUE	0				TRUE	TRUE			1	45010|45011|45012																			1			4						5400																									400	1	1			648			
46101	人鱼王·霸主	UI/GoodsPhoto/46101		武器	人鱼，神的仆人；人鱼王，最接近神的男人	TRUE	0				TRUE	TRUE			1	46001|46002|46003																			1			4						6120																									400	1	1			648			
46102	人鱼王·尊者	UI/GoodsPhoto/46102		帽子	人鱼，神的仆人；人鱼王，最接近神的男人	TRUE	1				TRUE	TRUE				46004|46005|46006																			1			4				19800				2880																							400	1	1	1620				405	
46103	人鱼王·龙威	UI/GoodsPhoto/46103		衣服	人鱼，神的仆人；人鱼王，最接近神的男人	TRUE	2				TRUE	TRUE				46004|46005|46006																			1			4				33000			2880																								400	1	1	2700			405		
46104	人鱼王·征程	UI/GoodsPhoto/46104		鞋子	人鱼，神的仆人；人鱼王，最接近神的男人	TRUE	3				TRUE	TRUE				46004|46005|46006																			1			4							1920	1920																							400	1	1				270	270	
46105	人鱼王·辉芒	UI/GoodsPhoto/46105		饰品	人鱼，神的仆人；人鱼王，最接近神的男人	TRUE	4				TRUE	TRUE				46001|46002|46003																			1			4						2040																									400	1	1			216			
46106	人鱼王·赤眼	UI/GoodsPhoto/46106		指环	人鱼，神的仆人；人鱼王，最接近神的男人	TRUE	5				TRUE	TRUE				46001|46002|46003																			1			4				13200		2040																									400	1	1	1080		216			
46107	人鱼王·半月	UI/GoodsPhoto/46107		武器	人鱼，神的仆人；人鱼王，最接近神的男人	TRUE	0				TRUE	TRUE			1	46001|46002|46003																			1			4						6120																									400	1	1			648			
46108	人鱼王·卧龙	UI/GoodsPhoto/99999		武器	人鱼，神的仆人；人鱼王，最接近神的男人	TRUE	0				TRUE	TRUE			1	46001|46002|46003																			1			4						6120																									400	1	1			648			
46111	黄金·浩气	UI/GoodsPhoto/46111		武器	以上等高纯度黄金打造的黄金套装，尊贵身份的象征	TRUE	0				TRUE	TRUE			1	45001|45002|45003																			1			4						6120																									400	1	1			648			
46112	黄金·骑士	UI/GoodsPhoto/46112		帽子	以上等高纯度黄金打造的黄金套装，尊贵身份的象征	TRUE	1				TRUE	TRUE				45004|45005|45006																			1			4				19800				2880																							400	1	1	1620				405	
46113	黄金·黑龙王	UI/GoodsPhoto/46113		衣服	以上等高纯度黄金打造的黄金套装，尊贵身份的象征	TRUE	2				TRUE	TRUE				45004|45005|45006																			1			4				33000			2880																								400	1	1	2700			405		
46114	黄金·碾压者	UI/GoodsPhoto/46114		鞋子	以上等高纯度黄金打造的黄金套装，尊贵身份的象征	TRUE	3				TRUE	TRUE				45004|45005|45006																			1			4							1920	1920																							400	1	1				270	270	
46115	黄金·护佑	UI/GoodsPhoto/46115		饰品	以上等高纯度黄金打造的黄金套装，尊贵身份的象征	TRUE	4				TRUE	TRUE				45001|45002|45003																			1			4						2040																									400	1	1			216			
46116	黄金·至尊	UI/GoodsPhoto/46116		指环	以上等高纯度黄金打造的黄金套装，尊贵身份的象征	TRUE	5				TRUE	TRUE				45001|45002|45003																			1			4				13200		2040																									400	1	1	1080		216			
46122	翡翠·后之仪	UI/GoodsPhoto/46122		帽子	原料采自翡翠之乡，顶级工匠倾心打造，蕴藏无限魔法魅力	TRUE	1				TRUE	TRUE				45004|45005|45006																			1			4				19800				2880																							400	1	1	1620				405	
46123	翡翠·淑女	UI/GoodsPhoto/46123		衣服	原料采自翡翠之乡，顶级工匠倾心打造，蕴藏无限魔法魅力	TRUE	2				TRUE	TRUE				45004|45005|45006																			1			4				33000			2880																								400	1	1	2700			405		
46124	翡翠·仕女	UI/GoodsPhoto/46124		鞋子	原料采自翡翠之乡，顶级工匠倾心打造，蕴藏无限魔法魅力	TRUE	3				TRUE	TRUE				45004|45005|45006																			1			4							1920	1920																							400	1	1				270	270	
46125	翡翠·飞凰	UI/GoodsPhoto/46125		饰品	原料采自翡翠之乡，顶级工匠倾心打造，蕴藏无限魔法魅力	TRUE	4				TRUE	TRUE				45001|45002|45003																			1			4						2040																									400	1	1			216			
46126	翡翠·公主泪	UI/GoodsPhoto/46126		指环	原料采自翡翠之乡，顶级工匠倾心打造，蕴藏无限魔法魅力	TRUE	5				TRUE	TRUE				45001|45002|45003																			1			4				13200		2040																									400	1	1	1080		216			
46127	翡翠·望月	UI/GoodsPhoto/46127		武器	原料采自翡翠之乡，顶级工匠倾心打造，蕴藏无限魔法魅力	TRUE	0				TRUE	TRUE			1	45001|45002|45003																			1			4						6120																									400	1	1			648			
46132	白金·贵公子	UI/GoodsPhoto/46132		帽子	白金套装，尊贵与奢华的稀世之作，法师的荣耀象征	TRUE	1				TRUE	TRUE				45004|45005|45006																			1			4				19800				2880																							400	1	1	1620				405	
46133	白金·锦秀	UI/GoodsPhoto/46133		衣服	白金套装，尊贵与奢华的稀世之作，法师的荣耀象征	TRUE	2				TRUE	TRUE				45004|45005|45006																			1			4				33000			2880																								400	1	1	2700			405		
46134	白金·疾风	UI/GoodsPhoto/46134		鞋子	白金套装，尊贵与奢华的稀世之作，法师的荣耀象征	TRUE	3				TRUE	TRUE				45004|45005|45006																			1			4							1920	1920																							400	1	1				270	270	
46135	白金·五芒	UI/GoodsPhoto/46135		饰品	白金套装，尊贵与奢华的稀世之作，法师的荣耀象征	TRUE	4				TRUE	TRUE				45001|45002|45003																			1			4						2040																									400	1	1			216			
46136	白金·奢华	UI/GoodsPhoto/46136		指环	白金套装，尊贵与奢华的稀世之作，法师的荣耀象征	TRUE	5				TRUE	TRUE				45001|45002|45003																			1			4				13200		2040																									400	1	1	1080		216			
46138	白金·绅士	UI/GoodsPhoto/46138		武器	白金套装，尊贵与奢华的稀世之作，法师的荣耀象征	TRUE	0				TRUE	TRUE			1	45001|45002|45003																			1			4						6120																									400	1	1			648			
46201	奥丁·神力	UI/GoodsPhoto/46201		武器	以一只眼睛为代价饮用智慧井的圣水，奥丁大神稳坐众神之王的宝座	TRUE	0				TRUE	TRUE			1	46010|46011|46012																			1			4						6120																									400	1	1			648			
46202	奥丁·大金	UI/GoodsPhoto/46202		帽子	以一只眼睛为代价饮用智慧井的圣水，奥丁大神稳坐众神之王的宝座	TRUE	1				TRUE	TRUE				46010|46011|46012																			1			4				19800				2880																							400	1	1	1620				405	
46203	奥丁·天父	UI/GoodsPhoto/46203		衣服	以一只眼睛为代价饮用智慧井的圣水，奥丁大神稳坐众神之王的宝座	TRUE	2				TRUE	TRUE				46010|46011|46012																			1			4				33000			2880																								400	1	1	2700			405		
46204	奥丁·远征	UI/GoodsPhoto/46204		鞋子	以一只眼睛为代价饮用智慧井的圣水，奥丁大神稳坐众神之王的宝座	TRUE	3				TRUE	TRUE				46010|46011|46012																			1			4							1920	1920																							400	1	1				270	270	
46205	奥丁·智慧	UI/GoodsPhoto/46205		饰品	以一只眼睛为代价饮用智慧井的圣水，奥丁大神稳坐众神之王的宝座	TRUE	4				TRUE	TRUE				46010|46011|46012																			1			4						2040																									400	1	1			216			
46206	奥丁·记忆	UI/GoodsPhoto/46206		指环	以一只眼睛为代价饮用智慧井的圣水，奥丁大神稳坐众神之王的宝座	TRUE	5				TRUE	TRUE				46010|46011|46012																			1			4				13200		2040																									400	1	1	1080		216			
46207	奥丁·削骨	UI/GoodsPhoto/46207		武器	以一只眼睛为代价饮用智慧井的圣水，奥丁大神稳坐众神之王的宝座	TRUE	0				TRUE	TRUE			1	46010|46011|46012																			1			4						6120																									400	1	1			648			
46208	奥丁·秘法	UI/GoodsPhoto/99999		武器	以一只眼睛为代价饮用智慧井的圣水，奥丁大神稳坐众神之王的宝座	TRUE	0				TRUE	TRUE			1	46010|46011|46012																			1			4						6120																									400	1	1			648			
46211	云贝·储君	UI/GoodsPhoto/46211		武器	传说中鱼人王子钟爱的云贝套装，海洋的瑰宝	TRUE	0				TRUE	TRUE			1	45010|45011|45012																			1			4						6120																									400	1	1			648			
46212	云贝·龙角	UI/GoodsPhoto/46212		帽子	传说中鱼人王子钟爱的云贝套装，海洋的瑰宝	TRUE	1				TRUE	TRUE				45010|45011|45012																			1			4				19800				2880																							400	1	1	1620				405	
46213	云贝·英姿	UI/GoodsPhoto/46213		衣服	传说中鱼人王子钟爱的云贝套装，海洋的瑰宝	TRUE	2				TRUE	TRUE				45010|45011|45012																			1			4				33000			2880																								400	1	1	2700			405		
46214	云贝·飞鱼	UI/GoodsPhoto/46214		鞋子	传说中鱼人王子钟爱的云贝套装，海洋的瑰宝	TRUE	3				TRUE	TRUE				45010|45011|45012																			1			4							1920	1920																							400	1	1				270	270	
46215	云贝·海螺	UI/GoodsPhoto/46215		饰品	传说中鱼人王子钟爱的云贝套装，海洋的瑰宝	TRUE	4				TRUE	TRUE				45010|45011|45012																			1			4						2040																									400	1	1			216			
46216	云贝·珍珠	UI/GoodsPhoto/46216		指环	传说中鱼人王子钟爱的云贝套装，海洋的瑰宝	TRUE	5				TRUE	TRUE				45010|45011|45012																			1			4				13200		2040																									400	1	1	1080		216			
46222	天蚕·飘逸	UI/GoodsPhoto/46222		帽子	柔中带刚，刚中带柔，身轻如燕，动若闪电	TRUE	1				TRUE	TRUE				45010|45011|45012																			1			4				19800				2880																							400	1	1	1620				405	
46223	天蚕·丽人	UI/GoodsPhoto/46223		衣服	柔中带刚，刚中带柔，身轻如燕，动若闪电	TRUE	2				TRUE	TRUE				45010|45011|45012																			1			4				33000			2880																								400	1	1	2700			405		
46224	天蚕·舞动	UI/GoodsPhoto/46224		鞋子	柔中带刚，刚中带柔，身轻如燕，动若闪电	TRUE	3				TRUE	TRUE				45010|45011|45012																			1			4							1920	1920																							400	1	1				270	270	
46225	天蚕·同心	UI/GoodsPhoto/46135		饰品	柔中带刚，刚中带柔，身轻如燕，动若闪电	TRUE	4				TRUE	TRUE				45010|45011|45012																			1			4						2040																									400	1	1			216			
46226	天蚕·双生	UI/GoodsPhoto/46136		指环	柔中带刚，刚中带柔，身轻如燕，动若闪电	TRUE	5				TRUE	TRUE				45010|45011|45012																			1			4				13200		2040																									400	1	1	1080		216			
46227	天蚕·影魅	UI/GoodsPhoto/99999		武器	柔中带刚，刚中带柔，身轻如燕，动若闪电	TRUE	0				TRUE	TRUE			1	45010|45011|45012																			1			4						6120																									400	1	1			648			
46232	水晶·王冠	UI/GoodsPhoto/99999		帽子	水晶是精灵族灵力的源泉，有永生不老，治疗百病之奇效	TRUE	1				TRUE	TRUE				45010|45011|45012																			1			4				19800				2880																							400	1	1	1620				405	
46233	水晶·战袍	UI/GoodsPhoto/99999		衣服	水晶是精灵族灵力的源泉，有永生不老，治疗百病之奇效	TRUE	2				TRUE	TRUE				45010|45011|45012																			1			4				33000			2880																								400	1	1	2700			405		
46234	水晶·战靴	UI/GoodsPhoto/99999		鞋子	水晶是精灵族灵力的源泉，有永生不老，治疗百病之奇效	TRUE	3				TRUE	TRUE				45010|45011|45012																			1			4							1920	1920																							400	1	1				270	270	
46235	水晶·项圈	UI/GoodsPhoto/99999		饰品	水晶是精灵族灵力的源泉，有永生不老，治疗百病之奇效	TRUE	4				TRUE	TRUE				45010|45011|45012																			1			4						2040																									400	1	1			216			
46236	水晶·戒指	UI/GoodsPhoto/99999		指环	水晶是精灵族灵力的源泉，有永生不老，治疗百病之奇效	TRUE	5				TRUE	TRUE				45010|45011|45012																			1			4				13200		2040																									400	1	1	1080		216			
46238	水晶·拳套	UI/GoodsPhoto/99999		武器	水晶是精灵族灵力的源泉，有永生不老，治疗百病之奇效	TRUE	0				TRUE	TRUE			1	45010|45011|45012																			1			4						6120																									400	1	1			648			
54101	爱神·甜心	UI/GoodsPhoto/99999		武器	爱可以融解仇恨，抚平伤痛，净化心灵，它也是最强力的武器	TRUE	0				TRUE	TRUE			1	44001|44002|44003																			1			5						6240																									500	1	1			735			
54102	爱神·浓情	UI/GoodsPhoto/99999		帽子	爱可以融解仇恨，抚平伤痛，净化心灵，它也是最强力的武器	TRUE	1				TRUE	TRUE				44004|44005|44006																			1			5				21600				2640																							500	1	1	1836				459	
