Id	FightingScore	SceneType	AttributeId
179	5920	1	5009
180	6270	1	5010
181	6620	1	5011
182	6980	1	5012
183	7330	1	5013
184	7680	1	5014
185	8030	1	5015
186	8390	1	5016
187	8740	1	5017
188	9090	1	5018
189	9450	1	5019
190	9880	1	5020
191	10260	1	5021
192	10650	1	5022
193	11030	1	5023
194	11340	1	5024
195	11770	1	5025
196	12040	1	5026
197	12400	1	5027
198	12830	1	5028
199	13260	1	5029
200	13690	1	5030
201	14120	1	5031
202	14550	1	5032
203	14980	1	5033
204	15410	1	5034
205	16070	1	5035
206	16450	1	5036
207	16830	1	5037
208	17220	1	5038
209	17600	1	5039
210	18140	1	5040
211	18650	1	5041
212	19150	1	5042
213	19660	1	5043
214	20170	1	5044
215	20670	1	5045
216	21100	1	5046
217	21380	1	5047
218	21890	1	5048
219	22390	1	5049
220	22900	1	5050
221	23410	1	5051
222	23870	1	5052
223	24330	1	5053
224	24790	1	5054
225	25250	1	5055
226	25710	1	5056
227	26170	1	5057
228	26630	1	5058
229	26990	1	5059
230	27260	1	5060
231	27840	1	5061
232	28430	1	5062
233	29010	1	5063
234	29600	1	5064
235	30180	1	5065
236	30760	1	5066
237	31350	1	5067
238	31930	1	5068
239	32590	1	5069
240	33130	1	5070
241	33670	1	5071
242	34200	1	5072
243	34740	1	5073
244	35280	1	5074
245	35820	1	5075
246	36350	1	5076
247	37010	1	5077
248	37410	1	5078
249	38070	1	5079
250	38730	1	5080
251	39390	1	5081
252	40050	1	5082
253	40710	1	5083
254	41110	1	5084
255	41770	1	5085
256	42430	1	5086
257	43090	1	5087
258	43750	1	5088
259	44150	1	5089
260	44730	1	5090
261	45310	1	5091
262	45900	1	5092
263	46480	1	5093
264	47060	1	5094
265	47650	1	5095
266	48230	1	5096
267	48820	1	5097
268	49400	1	5098
269	49980	1	5099
270	50570	1	5100
271	51150	1	5101
272	51730	1	5102
273	52320	1	5103
274	52900	1	5104
275	53490	1	5105
276	54070	1	5106
277	54650	1	5107
278	55240	1	5108
279	55820	1	5109
280	56400	1	5110
281	56990	1	5111
282	57570	1	5112
283	58150	1	5113
284	58740	1	5114
285	59320	1	5115
286	59910	1	5116
287	60490	1	5117
288	61070	1	5118
289	61660	1	5119
290	62240	1	5120
291	62820	1	5121
292	63410	1	5122
293	63990	1	5123
294	64580	1	5124
295	65160	1	5125
296	65740	1	5126
297	66330	1	5127
298	66910	1	5128
299	67490	1	5129
300	68080	1	5130
301	68660	1	5131
302	69240	1	5132
303	69670	1	5133
304	70100	1	5134
305	70660	1	5135
306	71210	1	5136
307	71640	1	5137
308	72070	1	5138
309	72500	1	5139
310	72930	1	5140
311	73360	1	5141
312	73790	1	5142
313	74220	1	5143
314	74650	1	5144
315	75080	1	5145
316	75510	1	5146
317	75940	1	5147
318	76370	1	5148
319	76800	1	5149
320	77230	1	5150
321	77660	1	5151
322	78090	1	5152
323	78520	1	5153
324	78950	1	5154
325	79380	1	5155
326	79810	1	5156
327	80240	1	5157
328	80670	1	5158
329	81100	1	5159
330	81530	1	5160
331	81960	1	5161
332	82390	1	5162
333	82820	1	5163
334	83250	1	5164
335	83680	1	5165
336	84110	1	5166
337	84540	1	5167
338	84970	1	5168
339	85400	1	5169
340	85830	1	5170
