Id	LinkId	FightingScore	MonsterType	AttributeId
56	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	25710	0	56|56|56|56|56|56|56|56|56|56|1056|1056|1056|1056|1056|1056|1056|1056|1056|1056|2056|2056|2056|2056|2056|2056|2056|2056|2056|2056
57	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	26170	0	57|57|57|57|57|57|57|57|57|57|1057|1057|1057|1057|1057|1057|1057|1057|1057|1057|2057|2057|2057|2057|2057|2057|2057|2057|2057|2057
58	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	26630	0	58|58|58|58|58|58|58|58|58|58|1058|1058|1058|1058|1058|1058|1058|1058|1058|1058|2058|2058|2058|2058|2058|2058|2058|2058|2058|2058
59	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	26990	0	59|59|59|59|59|59|59|59|59|59|1059|1059|1059|1059|1059|1059|1059|1059|1059|1059|2059|2059|2059|2059|2059|2059|2059|2059|2059|2059
60	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	27260	0	60|60|60|60|60|60|60|60|60|60|1060|1060|1060|1060|1060|1060|1060|1060|1060|1060|2060|2060|2060|2060|2060|2060|2060|2060|2060|2060
61	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	27840	0	61|61|61|61|61|61|61|61|61|61|1061|1061|1061|1061|1061|1061|1061|1061|1061|1061|2061|2061|2061|2061|2061|2061|2061|2061|2061|2061
62	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	28430	0	62|62|62|62|62|62|62|62|62|62|1062|1062|1062|1062|1062|1062|1062|1062|1062|1062|2062|2062|2062|2062|2062|2062|2062|2062|2062|2062
63	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	29010	0	63|63|63|63|63|63|63|63|63|63|1063|1063|1063|1063|1063|1063|1063|1063|1063|1063|2063|2063|2063|2063|2063|2063|2063|2063|2063|2063
64	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	29600	0	64|64|64|64|64|64|64|64|64|64|1064|1064|1064|1064|1064|1064|1064|1064|1064|1064|2064|2064|2064|2064|2064|2064|2064|2064|2064|2064
65	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	30180	0	65|65|65|65|65|65|65|65|65|65|1065|1065|1065|1065|1065|1065|1065|1065|1065|1065|2065|2065|2065|2065|2065|2065|2065|2065|2065|2065
66	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	30760	0	66|66|66|66|66|66|66|66|66|66|1066|1066|1066|1066|1066|1066|1066|1066|1066|1066|2066|2066|2066|2066|2066|2066|2066|2066|2066|2066
67	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	31350	0	67|67|67|67|67|67|67|67|67|67|1067|1067|1067|1067|1067|1067|1067|1067|1067|1067|2067|2067|2067|2067|2067|2067|2067|2067|2067|2067
68	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	31930	0	68|68|68|68|68|68|68|68|68|68|1068|1068|1068|1068|1068|1068|1068|1068|1068|1068|2068|2068|2068|2068|2068|2068|2068|2068|2068|2068
69	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	32590	0	69|69|69|69|69|69|69|69|69|69|1069|1069|1069|1069|1069|1069|1069|1069|1069|1069|2069|2069|2069|2069|2069|2069|2069|2069|2069|2069
70	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	33130	0	70|70|70|70|70|70|70|70|70|70|1070|1070|1070|1070|1070|1070|1070|1070|1070|1070|2070|2070|2070|2070|2070|2070|2070|2070|2070|2070
71	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	33670	0	71|71|71|71|71|71|71|71|71|71|1071|1071|1071|1071|1071|1071|1071|1071|1071|1071|2071|2071|2071|2071|2071|2071|2071|2071|2071|2071
72	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	34200	0	72|72|72|72|72|72|72|72|72|72|1072|1072|1072|1072|1072|1072|1072|1072|1072|1072|2072|2072|2072|2072|2072|2072|2072|2072|2072|2072
73	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	34740	0	73|73|73|73|73|73|73|73|73|73|1073|1073|1073|1073|1073|1073|1073|1073|1073|1073|2073|2073|2073|2073|2073|2073|2073|2073|2073|2073
74	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	35280	0	74|74|74|74|74|74|74|74|74|74|1074|1074|1074|1074|1074|1074|1074|1074|1074|1074|2074|2074|2074|2074|2074|2074|2074|2074|2074|2074
75	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	35820	0	75|75|75|75|75|75|75|75|75|75|1075|1075|1075|1075|1075|1075|1075|1075|1075|1075|2075|2075|2075|2075|2075|2075|2075|2075|2075|2075
76	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	36350	0	76|76|76|76|76|76|76|76|76|76|1076|1076|1076|1076|1076|1076|1076|1076|1076|1076|2076|2076|2076|2076|2076|2076|2076|2076|2076|2076
77	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	37010	0	77|77|77|77|77|77|77|77|77|77|1077|1077|1077|1077|1077|1077|1077|1077|1077|1077|2077|2077|2077|2077|2077|2077|2077|2077|2077|2077
78	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	37410	0	78|78|78|78|78|78|78|78|78|78|1078|1078|1078|1078|1078|1078|1078|1078|1078|1078|2078|2078|2078|2078|2078|2078|2078|2078|2078|2078
