Id	String
906	3星通关后开启扫荡
907	体力不足，扫荡失败
#兑换商店	
1000	兑换货币不足
1001	购买次数已满！
1002	购买次数有误！
1003	未知错误！
1004	∞
1005	获得
1006	刷新需消耗{0}钻石！
#伙伴pvp	
1100	保持当前排名（{0}），可以领取奖励为：
1101	当前暂无排名
1102	你的当前排名：
1103	第{0}名
1104	第{0}至{1}
1105	未排名
1106	每天{0}:{1:d2}发放当前奖励
1107	解锁:
1108	可挑战
1109	购买
1110	换一批
1111	名人堂排名奖励
1112	您今天获得名人堂奖励如下：
1113	名人堂组委会
1114	购买失败
1115	次数已用完
1116	"[834300]名人战战斗规则：[-][94733c]\n1.每天每个玩家可以免费发起挑战5次，每天凌晨4点重置次数.\n2.在名人战战斗中，所有玩家和同伴的血量经过相同幅度上升.\n3.若战斗胜利且防守方排名高于进攻方,则双方的排名对调.\n4.只要任意一方角色死亡另一方则视为胜利,若战斗超时则算作进攻方失败.\n5.每次战斗后，进攻方将进入一个10分钟的冷却时间.\n6.每晚9点整结算排名,并通过排名在当日发放奖励.\n7.角色等级越高,能参战的同伴数量越多,玩家最多可以带领三位同伴进入战场.[-]"
1117	钻石不足，快去充值吧！
1118	挑战失败，请重试
1119	购买失败，购买次数或者钻石不足
1120	其它活动匹配中不能挑战！
#运营活动	
1150	第{0}次签到，已经签完
1151	第{0}次签到，以后来哦
1152	礼品兑换成功
1153	礼品码兑换失败
1154	礼品码已经被使用
1155	礼品码错误
1156	礼品领取次数超过限制
1157	运营奖励
1158	今日已签到
1159	今日未签到
1160	本月已累计签到[ffee00]{0}[-]次
1161	{0}月签到奖励
1162	消耗{0}体力，可获得签到[ffee00]1[-]次
1163	{0}月{1}日
1164	领取失败
1165	签到次数不可以超过当前日期
#PVP相关	
1200	{0}级开放
1201	{0}邀请你进行切磋，是否同意？
1202	{0}在副本中
1203	{0}等级不够
1204	{0}请稍后在邀请
#大地图界面	
1301	等级要求：
1302	开放关卡：
1303	前往
1304	你已经在这里了！
