Id	LogicDataFile	Description	TrueDescription	Icon	ActivateLevel	Passivity	RangeMin	RangeMax	SkillCoefficient	TargetType	TargetSelectType	CD	CastTime	MinusCD	CostHp	CostRage	CostEnergy	CostEnergyCore	CostItemId	BreakType	Category	LevelUpCostType	LevelUpVigorType	LiftSkillId	LiftCostItem	LiftCostItemNum	CanStartWhenStiffness	CanStartWhenHitFly	CanStartWhenKnockDown	NextSkillId	QSkillId	ESkillId	LockInputTime	NextInputTime	TargetChooseRange	ShowName	ShowDescription	ShowAtlasPath	ShowIconName	ShowCD	ShowHitNum	ShowScore	ShowSteps	ShowCostEnergy	ShowDamage	ShowDamagePerLevel	ShowSteps2Dec	ShowSteps3Dec	ShowSteps4Dec
120641	Cike/level04/Cike_Skill06_41.dsl	影袭一段			10	0			0	2	2	7			0		8	0	0	10	0									120642			0	1		影袭	向身前打出一个影分身，影分身向前行进，遭遇目标或达到最大行进距离有进行一次斩击	UI_AtlasDynamic/skill/skill	ck07	7	4		1	8	7.8	0.312	追加二段，激活二段可再次最追加两次影分身攻击	减少影袭的CD时间	影分身攻击会对命中的目标施加影伤效果
120642	Cike/level04/Cike_Skill06_42.dsl	影袭二段			1	0			0	2	2	0			0		0	0	0	10	0									120643			0	1		影袭二段		UI_AtlasDynamic/skill/skill	ck07	0			1	0					
120643	Cike/level04/Cike_Skill06_43.dsl	影袭三段			1	0			0	2	2	0			0		0	0	0	10	0												0	1		影袭二段		UI_AtlasDynamic/skill/skill	ck07	0			1	0					
120741	Cike/level04/Cike_Skill07_41.dsl	瞬狱影阵杀一段			1	0			0	2	2	30			0	300	0	0	0	10	10												0	1		瞬狱影阵	瞬狱影阵杀	UI_AtlasDynamic/skill/skill	ck01	30			1	0					
120742	Cike/level04/Cike_Skill07_42.dsl	瞬狱影阵杀二段			1	0			0	2	2	1			0	300	0	0	0	10	10												0	1		瞬狱影阵杀二段		UI_AtlasDynamic/skill/skill	ck01	1			1	0					
120841	Cike/level04/Cike_Skill08_41.dsl	影子模仿一段			30	0			0	2	2	28			0		40	0	0	10	0												0.21	5.1		影子模仿	向身前召唤一个影分身，影分身会持续一段时间，期间影分身会模仿刺客的一切动作	UI_AtlasDynamic/skill/skill	ck06	28			1	40	1	0.04	增长硬直持续时间	追加再次激活技能可与影子互换位置	进一步增强影子持续时间
120842	Cike/level04/Cike_Skill08_42.dsl	影子模仿二段			1	0			0	2	2	0			0		0	0	0	11	0												0	1		影子模仿二段		UI_AtlasDynamic/skill/skill	ck06	0			1	0					
120843	Cike/level04/Cike_Skill08_43.dsl	影子模仿三段			1	0			0	2	2	0			0		0	0	0	10	0												0	1		影子模仿三段		UI_AtlasDynamic/skill/skill	ck06	0			1	0					
120941	Cike/level04/Cike_Skill09_41.dsl	九刃一段			1	0			0	2	2	1			0		0	0	0	10	0												0	1		九刃一段		UI_AtlasDynamic/skill/skill	ck10	1			1	0					
120942	Cike/level04/Cike_Skill09_42.dsl	九刃二段			1	0			0	2	2	1			0		0	0	0	10	0												0	1		九刃二段		UI_AtlasDynamic/skill/skill	ck10	1			1	0					
121041	Cike/level04/Cike_Skill10_41.dsl	风神落一段			35	0			0	2	2	23			0		40	0	0	10	0												0	1		风神落	将敌人挑向空中，自身也随之跃向高空，然后抱住敌人身体，急速旋转向地面撞去，第一击破霸体	UI_AtlasDynamic/skill/skill	ck09	23	7		1	40	24	0.84			
121042	Cike/level04/Cike_Skill10_42.dsl	十刃二段			1	0			0	2	2	1			0		0	0	0	10	0												0	1		十刃二段		UI_AtlasDynamic/skill/skill	ck01	23	7		1	40	24	0.84			
121141	Cike/level04/Cike_Skill11_41.dsl	大飞镖一段			1	0			0	2	2	1			0		0	0	0	11	0												0.4	1.5		大飞镖		UI_AtlasDynamic/skill/skill	ck08	1			1	0					
121142	Cike/level04/Cike_Skill11_42.dsl	十一刃二段			1	0			0	2	2	1			0		0	0	0	11	0												0.3	1.5		刃旋OB		UI_AtlasDynamic/skill/skill	ck01	1			1	0					
121241	Cike/level04/Cike_Skill12_41.dsl	十二刃一段			1	0			0	2	2	1			0		0	0	0	21	0									121242			0.4	1.5		挑空OB		UI_AtlasDynamic/skill/skill	ck01	1			1	0					
121242	Cike/level04/Cike_Skill12_42.dsl	十二刃二段			1	0			0	2	2	1			0		0	0	0	21	0									121243			0.1	1		飞踢OB		UI_AtlasDynamic/skill/skill	ck01	1			1	0					
121341	Cike/level04/Cike_Skill13_41.dsl	格挡			25	0			0	2	2	1			0		10	0	0	11	0								TRUE				0.4	1.5		格挡反击	释放后进入格挡状态，免疫伤害，即将受击的瞬间进行格挡可打出反击	UI_AtlasDynamic/skill/skill	js09	1			1	10	4	0.16			
121342	Cike/level04/Cike_Skill13_42.dsl	反击			1	0			0	2	2	1			0		0	0	0	21	0								TRUE				0.1	1				UI_AtlasDynamic/skill/skill	js09	1			1	0					
121441	Cike/level04/Cike_Skill14_41.dsl	EX爆气			1	0			0	2	2	1			0	300	0	0	0	11	14						TRUE	TRUE	TRUE				0.4	1.5		格挡反击	释放后进入格挡状态，免疫伤害，即将受击的瞬间进行格挡可打出反击	UI_AtlasDynamic/skill/skill	js09	1			1	10	4	0.16			
#法师																																																	
130000	fashi/fashi_combat2idle.dsl	法师从战斗状态切换为非战状态			1	0			0	2	2	1			0		0	0	0	0	12												0	1										0					
130001	fashi/fashi_pugong.dsl	法师普攻1			1	0			0	2	2	0.1			0		0	0	0	10	1									130002			0.1	1.2				UI_AtlasDynamic/skill/skill	attack2					0					
130002	fashi/fashi_pugong.dsl	法师普攻2			1	0			0	2	2	0.1			0		0	0	0	10	1									130003			0.1	1.2				UI_AtlasDynamic/skill/skill	attack2					0					
130003	fashi/fashi_pugong.dsl	法师普攻3			1	0			0	2	2	0.1			0		0	0	0	10	1												0.1	1.3				UI_AtlasDynamic/skill/skill	attack2					0					
130005	fashi/fashi_shuashuai.dsl	法师扮酷			1	0			0	2	2	1			0		0	0	0	0	13												0	1										0					
130011	fashi/fashi_pugong.dsl	普攻1召唤火爪			1	0			0	2	2	1	2.5		0		0	0	0	30		1											0.6	4		空气炮	向前释放空气炮远程攻击敌人。	UI_AtlasDynamic/skill/skill	js06	7	8		1	7	7.5	0.3			
130012	fashi/fashi_pugong.dsl	普攻2召唤冰爪			1	0			0	2	2	1	2.5		0		0	0	0	30		1											0.6	4		空气炮	向前释放空气炮远程攻击敌人。	UI_AtlasDynamic/skill/skill	js06	7	8		1	7	7.5	0.3			
130013	fashi/fashi_pugong.dsl	普攻3召唤火爪			1	0			0	2	2	1	2.5		0		0	0	0	30		1											0.6	4		空气炮	向前释放空气炮远程攻击敌人。	UI_AtlasDynamic/skill/skill	js06	7	8		1	7	7.5	0.3			
130014	fashi/fashi_pugong.dsl	普攻4召唤冰爪			1	0			0	2	2	1	2.5		0		0	0	0	30		1											0.6	4		空气炮	向前释放空气炮远程攻击敌人。	UI_AtlasDynamic/skill/skill	js06	7	8		1	7	7.5	0.3			
130101	fashi/fashi_kongqipao.dsl	空气炮1			1	0			0	2	2	1	2.5		0		0	0	0	30	2	1											0.6	4		空气炮	向前释放空气炮远程攻击敌人。	UI_AtlasDynamic/skill/skill	js06	7	8		1	7	7.5	0.3			
130102	fashi/fashi_kongqipao.dsl	空气炮2			1	0			0	2	2	1			0		0	0	0	30		1											0.6	1		空气炮		UI_AtlasDynamic/skill/skill	js06	0			1	0	7.5	0.3			
130111	fashi/fashi_kongqipao.dsl	空气炮：左1			1	0			0	2	2	0			0		0	0	0	10																													
130112	fashi/fashi_kongqipao.dsl	空气炮：右1			1	0			0	2	2	0			0		0	0	0	10																													
130113	fashi/fashi_kongqipao.dsl	空气炮：中型			1	0			0	2	2	0			0		0	0	0	10																													
130121	fashi/fashi_kongqipao.dsl	空气炮:超大			1	0			0	2	2	0			0		0	0	0	10																													
130201	fashi/fashi_shenglongquan.dsl	升龙拳1			1	0			0	2	2	1			0		0	0	0	30	3	2											0.6	4		升龙拳	将敌人挑至空中。	UI_AtlasDynamic/skill/skill	js01	7	8		1	7	7.5	0.3			
130202	fashi/fashi_shenglongquan.dsl	升龙拳2			1	0			0	2	2	1			0		0	0	0	30		2											0.6	1		升龙拳		UI_AtlasDynamic/skill/skill	js01	0			1	0	7.5	0.3			
130301	fashi/fashi_xueqiushu.dsl	雪球术1			1	0			0	2	2	1			0		0	0	0	30	4	3											0.6	6		雪球术	将敌人聚集并推开或牵引。	UI_AtlasDynamic/skill/skill	js03	7	8		1	7	7.5	0.3			
130302	fashi/fashi_xueqiushu.dsl	雪球术2			1	0			0	2	2	1			0		0	0	0	30		3											0.6	1		雪球术		UI_AtlasDynamic/skill/skill	js03	0			1	0	7.5	0.3			
130311	fashi/fashi_xueqiushu.dsl	雪漩涡			1	0			0	2	2	0			0		0	0	0	10																													
130312	fashi/fashi_xueqiushu.dsl	雪球：近			1	0			0	2	2	0			0		0	0	0	10																													
130313	fashi/fashi_xueqiushu.dsl	雪球：远			1	0			0	2	2	0			0		0	0	0	10																													
130314	fashi/fashi_xueqiushu.dsl	雪球地面：近			1	0			0	2	2	0			0		0	0	0	10																													
130315	fashi/fashi_xueqiushu.dsl	雪球地面：远			1	0			0	2	2	0			0		0	0	0	10																													
130316	fashi/fashi_xueqiushu.dsl	雪球推动			1	0			0	2	2	0			0		0	0	0	11																													
130317	fashi/fashi_xueqiushu.dsl	雪球地面推动			1	0			0	2	2	0			0		0	0	0	11																													
130401	fashi/fashi_huoyanfenshen.dsl	火焰分身1			1	0			0	2	2	1			0		0	0	0	20	6	4											0.6	4		火焰分身	闪现，在沿途制造分身自爆。	UI_AtlasDynamic/skill/skill	js06	7	8		1	7	7.5	0.3			
130402	fashi/fashi_huoyanfenshen.dsl	火焰分身2			1	0			0	2	2	1			0		0	0	0	20		4											0.6	4		火焰分身		UI_AtlasDynamic/skill/skill	js06	0			1	0	7.5	0.3			
130411	fashi/fashi_huoyanfenshen.dsl	火焰分身召唤			1	0			0	2	2	0			0		0	0	0	11																													
130412	fashi/fashi_huoyanfenshen.dsl	火焰分身1号			1	0			0	2	2	0			0		0	0	0	11																													
130413	fashi/fashi_huoyanfenshen.dsl	火焰分身2号			1	0			0	2	2	0			0		0	0	0	11																													
130414	fashi/fashi_huoyanfenshen.dsl	火焰分身3号			1	0			0	2	2	0			0		0	0	0	11																													
130415	fashi/fashi_huoyanfenshen.dsl	火焰分身4号			1	0			0	2	2	0			0		0	0	0	11																													
130501	fashi/fashi_bingqiang.dsl	冰枪1			1	0			0	2	2	1			0		0	0	0	30		5											0.6	4		冰枪	召唤冰枪自动攻击敌人。	UI_AtlasDynamic/skill/skill	js01	7	8		1	7	7.5	0.3			
130502	fashi/fashi_bingqiang.dsl	冰枪2			1	0			0	2	2	1			0		0	0	0	30		5											0.6	4		冰枪		UI_AtlasDynamic/skill/skill	js01	0			1	0	7.5	0.3			
130601	fashi/fashi_huohuoshan.dsl	活火山1			1	0			0	2	2	1			0		0	0	0	20		6											0.6	4		活火山	制造活火山造成大范围伤害。	UI_AtlasDynamic/skill/skill	js03	7	8		1	7	7.5	0.3			
130602	fashi/fashi_huohuoshan.dsl	活火山2			1	0			0	2	2	1			0		0	0	0	20		6											0.6	4		活火山		UI_AtlasDynamic/skill/skill	js03	0			1	0	7.5	0.3			
130701	fashi/fashi_bingfenghuang.dsl	冰凤凰1			1	0			0	2	2	1			0		0	0	0	30	7	7											0.6	4		冰凤凰	召唤冰凤凰推送敌人。	UI_AtlasDynamic/skill/skill	js06	7	8		1	7	7.5	0.3			
130702	fashi/fashi_bingfenghuang.dsl	冰凤凰2			1	0			0	2	2	1			0		0	0	0	30		7											0.6	4		冰凤凰		UI_AtlasDynamic/skill/skill	js06	0			1	0	7.5	0.3			
130711	fashi/fashi_bingfenghuang.dsl	召唤物：冰凤凰			1	0			0	2	2	0			0		0	0	0	10																													
130712	fashi/fashi_bingfenghuang.dsl	冰凤凰消失			1	0			0	2	2	0			0		0	0	0	11																													
130713	fashi/fashi_bingfenghuang.dsl	冰凤凰break冲刺			1	0			0	2	2	0			0		0	0	0	10																													
130714	fashi/fashi_bingfenghuang.dsl	召唤物：冰凤凰蛋			1	0			0	2	2	0			0		0	0	0	10																													
130715	fashi/fashi_bingfenghuang.dsl	冰凤凰旋转			1	0			0	2	2	0			0		0	0	0	10																													
130716	fashi/fashi_bingfenghuang.dsl	凤凰蛋破壳			1	0			0	2	2	0			0		0	0	0	11																													
130801	fashi/fashi_binghuozoulang.dsl	冰火走廊1			1	0			0	2	2	1			0		0	0	0	30		8											0.6	4		冰火走廊	制造一个冰火走廊将敌人困住。	UI_AtlasDynamic/skill/skill	js01	7	8		1	7	7.5	0.3			
130802	fashi/fashi_binghuozoulang.dsl	冰火走廊2			1	0			0	2	2	1			0		0	0	0	30		8											0.6	4		冰火走廊		UI_AtlasDynamic/skill/skill	js01	0			1	0	7.5	0.3			
130811	fashi/fashi_binghuozoulang.dsl	召唤物：寒冰走廊未形成			1	0			0	2	2	0			0		0	0	0	10																													
130812	fashi/fashi_binghuozoulang.dsl	寒冰吸引1			1	0			0	2	2	0			0		0	0	0	10																													
130813	fashi/fashi_binghuozoulang.dsl	寒冰吸引2			1	0			0	2	2	0			0		0	0	0	10																													
130814	fashi/fashi_binghuozoulang.dsl	寒冰吸引3			1	0			0	2	2	0			0		0	0	0	10																													
130815	fashi/fashi_binghuozoulang.dsl	召唤物：寒冰走廊			1	0			0	2	2	0			0		0	0	0	10																													
130816	fashi/fashi_binghuozoulang.dsl	寒冰走廊之破碎			1	0			0	2	2	0			0		0	0	0	10																													
130817	fashi/fashi_binghuozoulang.dsl	寒冰分身1			1	0			0	2	2	0			0		0	0	0	10																													
130818	fashi/fashi_binghuozoulang.dsl	寒冰分身2			1	0			0	2	2	0			0		0	0	0	10																													
130819	fashi/fashi_binghuozoulang.dsl	寒冰分身的陨落1			1	0			0	2	2	0			0		0	0	0	10																													
130820	fashi/fashi_binghuozoulang.dsl	寒冰分身的陨落2			1	0			0	2	2	0			0		0	0	0	10																													
130821	fashi/fashi_binghuozoulang.dsl	火焰分身			1	0			0	2	2	0			0		0	0	0	10																													
130822	fashi/fashi_binghuozoulang.dsl	火焰分身前进			1	0			0	2	2	0			0		0	0	0	10																													
130901	fashi/fashi_binghuolongjuanfeng.dsl	冰火龙卷风1			1	0			0	2	2	1			0		0	0	0	30	5	8											0.6	4		冰火龙卷风	冰与火的风暴	UI_AtlasDynamic/skill/skill	js01	7	8		1	7	7.5	0.3			
130902	fashi/fashi_binghuolongjuanfeng.dsl	冰火龙卷风2			1	0			0	2	2	1			0		0	0	0	30		8											0.6	4		冰火龙卷风		UI_AtlasDynamic/skill/skill	js01	0			1	0	7.5	0.3			
130911	fashi/fashi_binghuolongjuanfeng.dsl	召唤物：寒冰龙卷风			1	0			0	2	2	0			0		0	0	0	10																													
130912	fashi/fashi_binghuolongjuanfeng.dsl	召唤物：赤炎龙卷风			1	0			0	2	2	0			0		0	0	0	10																													
130913	fashi/fashi_binghuolongjuanfeng.dsl	召唤物：寒冰龙卷风			1	0			0	2	2	0			0		0	0	0	10																													
130914	fashi/fashi_binghuolongjuanfeng.dsl	召唤物：赤炎龙卷风			1	0			0	2	2	0			0		0	0	0	10																													
130915	fashi/fashi_binghuolongjuanfeng.dsl	召唤物：寒冰龙卷风			1	0			0	2	2	0			0		0	0	0	10																													
130916	fashi/fashi_binghuolongjuanfeng.dsl	召唤物：赤炎龙卷风			1	0			0	2	2	0			0		0	0	0	10																													
130917	fashi/fashi_binghuolongjuanfeng.dsl	召唤物：巨大龙卷底座			1	0			0	2	2	0			0		0	0	0	10																													
130918	fashi/fashi_binghuolongjuanfeng.dsl	召唤物：巨大龙卷风			1	0			0	2	2	0			0		0	0	0	10																													
