Level	SkillType_1	SkillType_2	SkillType_3	SkillType_4	SkillType_5	SkillType_6	SkillType_7	SkillType_8	SkillType_9	SkillType_10	Rate	VigorType_1	VigorType_2	VigorType_3	VigorType_4	VigorType_5	VigorType_6	VigorType_7	VigorType_8	VigorType_9	VigorType_10
45	31455	44037	46134	48231	48231	48231	50328	50328	52425	0	0.0027	225	225	230	230	230	235	235	235	239	239
46	32181	45054	47199	49345	49345	49345	51490	51490	53636	0	0.0027	230	230	235	235	235	240	240	240	244	244
47	32909	46073	48267	50461	50461	50461	52655	52655	54849	0	0.0026	234	234	239	239	239	244	244	244	249	249
48	33638	47093	49336	51578	51578	51578	53821	53821	56064	0	0.0026	239	239	244	244	244	249	249	249	254	254
49	34368	48116	50407	52698	52698	52698	54989	54989	57281	0	0.0025	243	243	248	248	248	253	253	253	258	258
50	35100	49140	51480	53820	53820	53820	56160	56160	58500	0	0.0025	247	247	253	253	253	258	258	258	263	263
51	35832	50165	52554	54943	54943	54943	57332	57332	59721	0	0.0024	252	252	257	257	257	262	262	262	267	267
52	36566	51192	53630	56068	56068	56068	58506	58506	60944	0	0.0024	256	256	261	261	261	266	266	266	272	272
53	37301	52221	54708	57195	57195	57195	59682	59682	62169	0	0.0023	260	260	265	265	265	270	270	270	276	276
54	38037	53252	55788	58324	58324	58324	60860	60860	63396	0	0.0023	264	264	269	269	269	275	275	275	280	280
55	38775	54285	56870	59455	59455	59455	62040	62040	64625	0	0.0022	268	268	273	273	273	279	279	279	284	284
56	39513	55319	57953	60587	60587	60587	63221	63221	65856	0	0.0022	272	272	277	277	277	283	283	283	289	289
57	40253	56354	59038	61721	61721	61721	64405	64405	67089	0	0.0021	276	276	281	281	281	287	287	287	293	293
58	40994	57392	60125	62858	62858	62858	65591	65591	68324	0	0.0021	280	280	286	286	286	291	291	291	297	297
59	41736	58431	61213	63996	63996	63996	66778	66778	69561	0	0.0021	284	284	290	290	290	296	296	296	302	302
60	42480	59472	62304	65136	65136	65136	67968	67968	70800	0	0.002	288	288	294	294	294	300	300	300	306	306
