Id	LogicId	GfxLogicId	Description	ImpactType	ImpactTime	BreakSuperArmor	BreakParry	IgnoreBlock	TargetFigure	DamageType	ElementType	DamageValue	DamageRate	LevelRate	BuffDataId	MaxRank	AnimationInfo	LockFrameInfo	AnimationType	MoveMode	CurveMove	AdjustPoint	AdjustAppend	AdjustDegreeXZ	AdjustDegreeY	MaxDist	FallDownTime	OnGroundTime	GetUpTime	IsDeadDisappear	CanBeCancel	IsAbsorbHurt	IsReflect	IsDamageDisappear	IsFightDisappear	IsShootDisappear	IsSkillDisappear	Effect0	Effect1	Effect2	Effect3	Effect4	HitSoundProb	ParamNum	ParamDesc0	Param0	ParamDesc1	Param1	ParamDesc2	Param2	ParamDesc3	Param3	ParamDesc4	Param4	ParamDesc5	Param5	ParamDesc6	Param6	ParamDesc7	Param7
10215	15	1	枪手普攻3伤害	2	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	HP伤害	-200	HP伤害百分比	0												
10301	14	1	剑士裂地斩效果	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	HP伤害	-75	死亡时效果	4001												
100101	1	1	剑士普攻1	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.1 0.1 0.1 0.9 0.4 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-100	怒气值	1										
100201	1	1	剑士普攻2	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.1 0.1 0.1 0.9 0.4 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-85	怒气值	1										
100301	1	1	剑士普攻3	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.1 0.1 0.1 0.9 0.4 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-85	怒气值	1										
100401	1	2	剑士普攻4	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.1 0.1 0.1 0.9 0.4 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-130	怒气值	1										
100102	1	1	空-剑士普攻1	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-100	怒气值	1										
100202	1	1	空-剑士普攻2	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-85	怒气值	1										
100302	1	1	空-剑士普攻3	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-85	怒气值	1										
100402	1	1	空-剑士普攻4	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-130	怒气值	1										
110101	1	1	冲锋（远）	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-400	怒气值	1										
110102	1	1	冲锋	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-400	怒气值	1										
110103	1	1	冲锋	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-400	怒气值	1										
110104	1	1	冲锋（近）	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-400	怒气值	1										
120101	1	1	神鬼斩	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-110	怒气值	1										
121101	1	1	烈刃狂斩	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-150	怒气值	1										
122101	1	1	蓄力重斩	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-1100	怒气值	1										
130101	1	1	火焰拳	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-200	怒气值	1										
131101	1	1	火焰拖曳	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-70	怒气值	1										
132101	1	1	火焰爆破	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-50	怒气值	1										
132102	1	1	火焰爆破爆炸	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-600	怒气值	1										
131102	1	1	火焰拖拽爆炸	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-1000	怒气值	1										
140101	1	1	挑空	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-150	怒气值	2										
141101	1	1	剑士空斩1	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-110	怒气值	1										
141102	1	1	剑士空斩2	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-110	怒气值	1										
141103	1	1	剑士空斩3	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-110	怒气值	1										
141104	1	1	剑士空斩4	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-135	怒气值	1										
141105	1	1	剑士空斩5	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-150	怒气值	1										
141106	1	1	剑士空斩6	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-170	怒气值	1										
142101	1	1	三连突	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-250	怒气值	1										
170101	1	1	ex段1	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	延时	0	HP伤害	-50												
170102	1	1	ex段2	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	延时	0	HP伤害	-350												
170103	1	1	ex段3	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	延时	0	HP伤害	-350												
180001	2	1	无敌	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																								
#剑士消耗																										10																																		
170104	1	1	ex消耗	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	-100										
110111	1	1	冲锋	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
120111	1	1	神鬼斩	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
121111	1	1	烈刃狂斩	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
122111	1	1	蓄力重斩	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
130111	1	1	火焰拳	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
131111	1	1	火焰拖曳	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
132111	1	1	火焰爆破	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
140111	1	1	挑空	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
141111	1	1	剑士空斩	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
142111	1	1	三连突	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
#枪手效果																										10																																		
200011	1	1	枪手1	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-10	怒气值	1										
200012	1	1	枪手2	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-50	怒气值	1										
200013	1	1	枪手3	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-100	怒气值	1										
200014	1	1	枪手4	1	1000	FALSE			0|1|2	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	-1000	怒气值	1										
#刺客																										10																																		
12990000	1	0	空状态	1	10	FALSE			0|1|2|10	0			0		0	0	0 0.1 0.1 0.1 0.9 0.4 1		0	0	0 0.2 0 0 15 0 0 -100	0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
12990001	2	0	霸体	1	10000	FALSE			0|1|2|10	0			0		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 15 0 0 -100	0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								1	霸体类型	1														
12990002	1	1	推怪	1	1000	FALSE			0|1|10	0			0		0	0	0 0.1 0.1 0.1 0.9 0.4 1		0	0	0 0.02 0 0 25 0 0 0	0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
12990003	3	0	伤害免疫	1	10000	FALSE			0|1|2|10	0			0		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 15 0 0 -100	0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
12990004	5	0	停止受击状态	1	5000	FALSE			0|1|2|10	1		0	0		0	0			1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	停止逻辑编号	1	类型id：0=impactid，1=logicid，2=gfxid	2		0										
12990005	2	0	EX霸体	1	10000	FALSE			0|1|2|10	0			0		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 15 0 0 -100	0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								1	霸体类型	1														
12990006	1	4	抓取效果	1	5000	FALSE			0|1|2|10	1		0	0		0	0			1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								3	延时	0	HP伤害	0	怒气值	0										
12990007	5	0	停止抓取效果	1	5000	FALSE			0|1|2|10	1		0	0		0	0			1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE								2	停止逻辑编号	4	类型id：0=impactid，1=logicid，2=gfxid	2												
12000101	1	1	刺客普攻一段1	1	1000	FALSE			0|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 12 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-100	怒气值	0										
12000102	1	1	刺客普攻一段2	1	1000	FALSE			0|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		1	0	0 0.2 0 0 12 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000103	1	2	刺客普攻一段1（浮空）	1	1000	FALSE			0|1|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 3 12 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-100	怒气值	0										
12000104	1	2	刺客普攻一段2（浮空）	1	1000	FALSE			0|1|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		1	0	0 0.2 0 3 12 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000201	1	1	刺客普攻二段1	1	1000	FALSE			0|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 10 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-100	怒气值	0										
12000202	1	1	刺客普攻二段2	1	1000	FALSE			0|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 12 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000203	1	1	刺客普攻二段3	1	1000	FALSE			0|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		1	0	0 0.2 0 0 17 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000204	1	2	刺客普攻二段1（浮空）	1	1000	FALSE			0|1|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 3 10 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-100	怒气值	0										
12000205	1	2	刺客普攻二段2（浮空）	1	1000	FALSE			0|1|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 3 10 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000206	1	2	刺客普攻二段3（浮空）	1	1000	FALSE			0|1|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		1	0	0 0.2 0 3 20 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-100	怒气值	0										
12000301	1	1	刺客普攻三段1	1	1000	FALSE			0|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 6 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-100	怒气值	0										
12000302	1	1	刺客普攻三段2	1	1000	FALSE			0|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		1	0	0 0.2 0 0 6 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000303	1	1	刺客普攻三段3	1	1000	FALSE			0|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 15 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-100	怒气值	0										
12000304	1	2	刺客普攻三段1（浮空）	1	1000	FALSE			0|1|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 3 10 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000305	1	2	刺客普攻三段2（浮空）	1	1000	FALSE			0|1|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		1	0	0 0.2 0 3 10 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000306	1	2	刺客普攻三段3（浮空）	1	1000	FALSE			0|1|10	0			0.5		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 3 15 0 0 -100	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
12000401	1	2	刺客普攻四段1	1	1000	FALSE			0|10	0			1		0	0	0 0.1 0.1 0.1 0.9 0.4 1		0	0	0 0.15 0 0 40 0 0 -150	0 5 3	0	0	0	10	0.2	0.1	0.7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		12000101|12000102|12000103|12000104|12000105|12000106						3	延时	0	HP伤害	-85	怒气值	0										
