Id	GoldSum	GoldMin	GoldMax	Exp	Diamond	PartnerId	HpCount	HpPercent	MpCount	MpPercent	GoldModel	GoldParticle	HpModel	HpParticle	MpModel	MpParticle	ItemCount	WarriorItem0	RogueItem0	MageItem0	Count0	Weight0	WarriorItem1	RogueItem1	MageItem1	Count1	Weight1	WarriorItem2	RogueItem2	MageItem2	Count2	Weight2	WarriorItem3	RogueItem3	MageItem3	Count3	Weight3
1054	576	1	72	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	278	5	105	105	105	2	15	400001	400001	400001	3	5	101002	101002	101002	2	15
1055	592	1	74	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	286	5	105	105	105	2	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1056	608	1	76	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	294	5	105	105	105	2	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1057	624	1	78	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	302	5	101	101	101	312	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1058	640	1	80	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	310	5	101	101	101	320	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1059	656	1	82	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	318	5	101	101	101	328	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1060	672	1	84	40																																	
1061	672	1	84	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44101	44107	44108	1	5	101	101	101	336	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1062	688	1	86	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44102	44102	44102	1	5	101	101	101	344	15	400001	400001	400001	3	5	101003	101003	101003	2	15
1063	704	1	88	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44104	44104	44104	1	5	101	101	101	352	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1064	720	1	90	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44105	44105	44105	1	5	101	101	101	360	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1065	736	1	92	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44103	44103	44103	1	5	101	101	101	368	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1066	752	1	94	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	44106	44106	44106	1	5	101	101	101	376	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1067	768	1	96	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	374	5	101	101	101	384	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1068	784	1	98	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	382	5	101	101	101	392	15	400001	400001	400001	3	5	101004	101004	101004	2	15
1069	800	1	100	40			2	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	390	5	101	101	101	400	15	400001	400001	400001	3	5	101004	101004	101004	2	15
2011	216	1	27	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	200	20	101	101	101	216	50	303010	303010	303010	1	50	101	101	101	108	100
2012	240	1	30	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35104	35104	35104	1	0	101	101	101	228	50	303010	303010	303010	1	50	101	101	101	120	100
2013	264	1	33	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	410004	410004	410004	1	100	105	105	105	2	50	303010	303010	303010	1	50	101	101	101	132	100
2014	288	1	36	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35103	35103	35103	1	0	105	105	105	2	50	303010	303010	303010	1	50	101	101	101	144	100
2015	312	1	39	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35101	35107	35108	1	0	105	105	105	2	50	303010	303010	303010	1	50	101	101	101	156	100
2016	336	1	42	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	35105	35105	35105	1	0	105	105	105	2	50	303010	303010	303010	1	50	101	101	101	168	100
2017	360	1	45	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	410015	410015	410015	1	100	105	105	105	2	50	303010	303010	303010	1	50	101	101	101	180	100
2018	384	1	48	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36104	36104	36104	1	0	105	105	105	2	50	303010	303010	303010	1	50	101	101	101	192	100
2019	408	1	51	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	410001	410001	410001	1	20	105	105	105	2	50	303010	303010	303010	1	50	101	101	101	204	100
2021	432	1	54	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36105	36105	36105	1	0	105	105	105	2	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2022	456	1	57	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36102	36102	36102	1	0	105	105	105	2	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2023	480	1	60	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	844101	844107	844108	1	100	105	105	105	2	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2024	504	1	63	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	36101	36107	36108	1	0	105	105	105	2	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2025	528	1	66	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	844105	844105	844105	1	100	105	105	105	2	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2026	552	1	69	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	844106	844106	844106	1	100	105	105	105	2	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2027	576	1	72	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	844103	844103	844103	1	100	105	105	105	2	50	303010	303010	303010	1	50	101001	101001	101001	3	100
2028	600	1	75	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	844104	844104	844104	1	100	105	105	105	2	50	303010	303010	303010	1	50	101002	101002	101002	3	100
2029	624	1	78	40			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	410005	410005	410005	1	15	105	105	105	2	50	303010	303010	303010	1	50	101002	101002	101002	3	100
2031	648	1	81	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	844102	844102	844102	1	100	105	105	105	2	50	303010	303010	303010	1	50	101002	101002	101002	3	100
2032	672	1	84	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	844101	844107	844108	1	100	105	105	105	2	50	303010	303010	303010	1	50	101002	101002	101002	3	100
2033	696	1	87	60			3	20	4	40	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	845103	845103	845103	1	50	105	105	105	2	50	303010	303010	303010	1	50	101002	101002	101002	3	100
