Id	Name	ChapterName	Type	SubType	Chapter	Order	UnitFile	SceneLogicFile	StoryDslFile	ClientSceneFile	ObstacleFile	BlockInfoFile	TiledDataScale	ReachableSet	Description	DropId	BkMusic	BkMusicVolume	StoryMusic	StoryMusicVolume	CompletedReward	CompletedTime	CompletedHitCount	CostStamina	RecommendFighting	AtlasPath	SceneIconName	BossLinkId	RecoverHpCoefficient	RecoverMpCoefficient	RelatedMainCity
#1050	第五章主城		0	0	-1	-1	Public/Scenes/Scene_1050/Unit.txt	Public/Scenes/Scene_1050/SceneLogic.txt	Public/Scenes/Scene_1050/Story.dsl	ShengKuiCheng_01	Public/Scenes/MapData_1315/Scene.tmx	Public/Scenes/MapData_1315/Scene.map	16				Sound/Scene/Amb_ShengKuiCheng_01		Sound/Scene/DF_ZhuCheng_Music	0.7						UI/AtlasPrefab/guankatu06	1				
#1060	第六章主城 圣盔城		0	0	-1	-1	Public/Scenes/Scene_1060/Unit.txt	Public/Scenes/Scene_1060/SceneLogic.txt	Public/Scenes/Scene_1060/Story.dsl	ShengKuiCheng_02	Public/Scenes/MapData_1316/Scene.tmx	Public/Scenes/MapData_1316/Scene.map	16				Sound/Scene/amb_MainCity		Sound/Scene/DF_ZhuCheng_Music	0.7						UI/AtlasPrefab/guankatu07	1				
#序章																															
#1001	救星	[fcfb00]第1章[-] 复 仇	1	0	-1	-1	Public/Scenes/Scene_1001/Unit.txt	Public/Scenes/Scene_1001/SceneLogic.txt	Public/Scenes/Scene_1001/Story.dsl	XuZhang_01	Public/Scenes/MapData_1115/Scene.tmx	Public/Scenes/MapData_1115/Scene.map	16		透过地牢窄小的天窗，星光依稀可见，正在思念艾妲的忽伦，并不知道他的救星来了…	1012	Sound/Scene/amb_01		Sound/Scene/solemnity_master3	0.7	10121			0	1001	UI/AtlasPrefab/guankatu01	1		1	1	
#1002	1-1 打开城门	[fcfb00]第1章[-] 复 仇	1	0	-1	-1	Public/Scenes/Scene_1002/Unit.txt	Public/Scenes/Scene_1002/SceneLogic.txt	Public/Scenes/Scene_1002/Story.dsl	WangGuoJun_ChengZhen_01	Public/Scenes/MapData_1119/Scene.tmx	Public/Scenes/MapData_1119/Scene.map	16		从内部打开布列斯特城的城门，城外等候的友军终于可以入城一战，这座久攻不下的城池瞬间沦陷了。	1013	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10131			8	1015	UI/AtlasPrefab/guankatu01	1		1	1	
#第一章																															
1011	1-1 PVE测试场景1（未开放）	[fcfb00]PVE测试场景[-]	1	0	1	0	Public/Scenes/Scene_1011/Unit.txt	Public/Scenes/Scene_1011/SceneLogic.txt	Public/Scenes/Scene_1011/Story.dsl	ChengWai_01	Public/Scenes/MapData_1118/Scene.tmx	Public/Scenes/MapData_1118/Scene.map	16		PVE测试场景1	1014	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10141			8	1079	UI/AtlasPrefab/guankatu01	1		1	1	1010
#1012	1-2 PVE测试场景2（未开放）	[fcfb00]PVE测试场景	1	0	1	1	Public/Scenes/Scene_1012/Unit.txt	Public/Scenes/Scene_1012/SceneLogic.txt	Public/Scenes/Scene_1012/Story.dsl	PuBu_01	Public/Scenes/MapData_1026/Scene.tmx	Public/Scenes/MapData_1026/Scene.map	16		PVE测试场景2	1011	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10111			8	1270	UI/AtlasPrefab/guankatu01	1		1	1	1010
#1013	1-3 黎明的突袭	[fcfb00]第1章[-] 复 仇	1	0	1	2	Public/Scenes/Scene_1013/Unit.txt	Public/Scenes/Scene_1013/SceneLogic.txt	Public/Scenes/Scene_1013/Story.dsl	WangGuoJun_03	Public/Scenes/MapData_1110/Scene.tmx	Public/Scenes/MapData_1110/Scene.map	16		黎明时分，我们突袭了博德遗迹外围的巡逻队，在敌人半睡半醒时，让他们陷入了永久的长眠……	1015	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10151			8	1460	UI/AtlasPrefab/guankatu01	1		1	1	1010
#1014	1-4 暴力美学	[fcfb00]第1章[-] 复 仇	1	0	1	3	Public/Scenes/Scene_1014/Unit.txt	Public/Scenes/Scene_1014/SceneLogic.txt	Public/Scenes/Scene_1014/Story.dsl	WangGuoJun_YingDi_03	Public/Scenes/MapData_1114/Scene.tmx	Public/Scenes/MapData_1114/Scene.map	16		剑锋所及的地方，便是敌人的坟墓。[\n]我们成功的“潜入”了驻军营地——至少发现我们的人都闭上了嘴	1016	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10161			8	1642	UI/AtlasPrefab/guankatu01	1		1	1	1010
#1015	1-5 博德遗迹Ⅰ	[fcfb00]第1章[-] 复 仇	1	0	1	4	Public/Scenes/Scene_1015/Unit.txt	Public/Scenes/Scene_1015/SceneLogic.txt	Public/Scenes/Scene_1015/Story.dsl	BoDeYiJi_01	Public/Scenes/MapData_1214/Scene.tmx	Public/Scenes/MapData_1214/Scene.map	16		敌人在这里的驻军非比寻常，他们似乎在博德遗迹中搜寻着什么……	1017	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10171			8	1836	UI/AtlasPrefab/guankatu01	1		1	1	1010
#1016	1-6 博德遗迹Ⅱ	[fcfb00]第1章[-] 复 仇	1	0	1	5	Public/Scenes/Scene_1016/Unit.txt	Public/Scenes/Scene_1016/SceneLogic.txt	Public/Scenes/Scene_1016/Story.dsl	BoDeYiJi_02	Public/Scenes/MapData_1213/Scene.tmx	Public/Scenes/MapData_1213/Scene.map	16		那些骷髅似乎永远也消灭不完，但却不得不消灭它们——只为了不成为它们中的一员	1018	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10181			8	2030	UI/AtlasPrefab/guankatu01	1		1	1	1010
#1017	1-7 清扫残党	[fcfb00]第1章[-] 复 仇	1	0	1	6	Public/Scenes/Scene_1017/Unit.txt	Public/Scenes/Scene_1017/SceneLogic.txt	Public/Scenes/Scene_1017/Story.dsl	BoDe_03	Public/Scenes/MapData_1029/Scene.tmx	Public/Scenes/MapData_1029/Scene.map	16		地下遗迹的出口竟然在敌人营地的内部，看来免不了一场恶战了……	1019	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10191			8	2212	UI/AtlasPrefab/guankatu01	1		1	1	1010
#1018	1-8 席列的邀约	[fcfb00]第1章[-] 复 仇	1	0	1	7	Public/Scenes/Scene_1018/Unit.txt	Public/Scenes/Scene_1018/SceneLogic.txt	Public/Scenes/Scene_1018/Story.dsl	WangGuoJun_Boss_01_3	Public/Scenes/MapData_1116/Scene.tmx	Public/Scenes/MapData_1116/Scene.map	16		大名鼎鼎的法盎队长席列竟然亲自前来邀约，能够驱使他移驾的原因一定是突发的战况，变幻莫测原本就是战场的主旋律。	1020	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10201			8	2409	UI/AtlasPrefab/guankatu01	1	101803	1	1	1010
#第二章																															
#1021	2-1 奇袭计划	[fcfb00]第2章[-] 血染的黎明	1	0	2	0	Public/Scenes/Scene_1021/Unit.txt	Public/Scenes/Scene_1021/SceneLogic.txt	Public/Scenes/Scene_1021/Story.dsl	WangGuoJun_07	Public/Scenes/MapData_1112/Scene.tmx	Public/Scenes/MapData_1112/Scene.map	16		我们制定了详细的奇袭计划，包括人员安排和行进路线——看来这位席列队长已经谋划了很久了。	1021	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10211			8	2261	UI/AtlasPrefab/guankatu01	1		1	1	1020
#1022	2-2 急行军Ⅰ	[fcfb00]第2章[-] 血染的黎明	1	0	2	1	Public/Scenes/Scene_1022/Unit.txt	Public/Scenes/Scene_1022/SceneLogic.txt	Public/Scenes/Scene_1022/Story.dsl	KuangDong_01	Public/Scenes/MapData_1210/Scene.tmx	Public/Scenes/MapData_1210/Scene.map	16		兵贵神速，既然是奇袭，我们就必须追着时间跑，但是矿坑里的魔兽显然没那么通情达理。	1022	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10221			8	2307	UI/AtlasPrefab/guankatu01	1		1	1	1020
#1023	2-3 急行军Ⅱ	[fcfb00]第2章[-] 血染的黎明	1	0	2	2	Public/Scenes/Scene_1023/Unit.txt	Public/Scenes/Scene_1023/SceneLogic.txt	Public/Scenes/Scene_1023/Story.dsl	KuangDong_02	Public/Scenes/MapData_1211/Scene.tmx	Public/Scenes/MapData_1211/Scene.map	16		按席列队长所言，这个矿坑似乎蕴藏着危险，不知道前面等着我们的会是什么……	1023	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10231			8	4602	UI/AtlasPrefab/guankatu01	1	102307	1	1	1020
#1024	2-4 急行军Ⅲ	[fcfb00]第2章[-] 血染的黎明	1	0	2	3	Public/Scenes/Scene_1024/Unit.txt	Public/Scenes/Scene_1024/SceneLogic.txt	Public/Scenes/Scene_1024/Story.dsl	KuangDong_03	Public/Scenes/MapData_1212/Scene.tmx	Public/Scenes/MapData_1212/Scene.map	16		想不到矿坑竟然有这么长，那么问题来了……	1024	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10241			8	5075	UI/AtlasPrefab/guankatu01	1		1	1	1020
#1025	2-5 潜入军营	[fcfb00]第2章[-] 血染的黎明	1	0	2	4	Public/Scenes/Scene_1025/Unit.txt	Public/Scenes/Scene_1025/SceneLogic.txt	Public/Scenes/Scene_1025/Story.dsl	TLPM_05	Public/Scenes/MapData_1022/Scene.tmx	Public/Scenes/MapData_1022/Scene.map	16		在雾色的掩护下我们悄悄潜入军营，在一阵瞎游乱走后，终于发现了军团长大帐的方向。	1025	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10251			8	5543	UI/AtlasPrefab/guankatu01	1		1	1	1020
#1026	2-6 初战伊娜	[fcfb00]第2章[-] 血染的黎明	1	0	2	5	Public/Scenes/Scene_1026/Unit.txt	Public/Scenes/Scene_1026/SceneLogic.txt	Public/Scenes/Scene_1026/Story.dsl	TLPM_Boss_01	Public/Scenes/MapData_1023/Scene.tmx	Public/Scenes/MapData_1023/Scene.map	16		伊娜，这位传说中的神秘少女，果然有着不凡的实力和超常的胆量……	1026	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10261			8	6019	UI/AtlasPrefab/guankatu01	1	102604	1	1	1020
#1027	2-7 回援Ⅰ	[fcfb00]第2章[-] 血染的黎明	1	0	2	6	Public/Scenes/Scene_1027/Unit.txt	Public/Scenes/Scene_1027/SceneLogic.txt	Public/Scenes/Scene_1027/Story.dsl	YiZhan_03	Public/Scenes/MapData_1012/Scene.tmx	Public/Scenes/MapData_1012/Scene.map	16		回程路上我们还有点担心这是不是伊娜的诡计，但确实未见一个圣卫军追兵。一个可以信任的对手比朋友更难得。	1027	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10271			8	6482	UI/AtlasPrefab/guankatu01	1		1	1	1020
#1028	2-8 回援Ⅱ	[fcfb00]第2章[-] 血染的黎明	1	0	2	7	Public/Scenes/Scene_1028/Unit.txt	Public/Scenes/Scene_1028/SceneLogic.txt	Public/Scenes/Scene_1028/Story.dsl	WangGuoJun_03	Public/Scenes/MapData_1110/Scene.tmx	Public/Scenes/MapData_1110/Scene.map	16		不知道大本营什么情况，大家各自有各自的担心，不知不觉的脚步也越来越快……	1028	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10281			8	6959	UI/AtlasPrefab/guankatu01	1		1	1	1020
#1029	2-9 血色营地	[fcfb00]第2章[-] 血染的黎明	1	0	2	8	Public/Scenes/Scene_1029/Unit.txt	Public/Scenes/Scene_1029/SceneLogic.txt	Public/Scenes/Scene_1029/Story.dsl	WangGuoJun_YingDi_02	Public/Scenes/MapData_1117/Scene.tmx	Public/Scenes/MapData_1117/Scene.map	16		刚到营地就见满眼的鲜血，整个营地无一活口，只剩下那些发了狂的布鲁夫，以及撕碎了的军旗……	1029	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10291			8	7422	UI/AtlasPrefab/guankatu01	1		1	1	1020
#第三章																															
#1031	3-1 回城Ⅰ	[fcfb00]第3章[-] 救世主	1	0	3	0	Public/Scenes/Scene_1031/Unit.txt	Public/Scenes/Scene_1031/SceneLogic.txt	Public/Scenes/Scene_1031/Story.dsl	WangGuoJun_07	Public/Scenes/MapData_1112/Scene.tmx	Public/Scenes/MapData_1112/Scene.map	16		一路上都能遇见布鲁夫，这些家伙什么时候如蚂蚁一般遍布各地了呢？	1031	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10311			8	7364	UI/AtlasPrefab/guankatu01	1		1	1	1030
#1032	3-2 回城Ⅱ	[fcfb00]第3章[-] 救世主	1	0	3	1	Public/Scenes/Scene_1032/Unit.txt	Public/Scenes/Scene_1032/SceneLogic.txt	Public/Scenes/Scene_1032/Story.dsl	YeWaiFangYu_01	Public/Scenes/MapData_1027/Scene.tmx	Public/Scenes/MapData_1027/Scene.map	16		每斩杀一个布鲁夫，就感觉又为一个兄弟报了仇。	1032	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10321			8	7718	UI/AtlasPrefab/guankatu01	1	103204	1	1	1030
##1033	3-3 最新军情	[fcfb00]第3章[-] 救世主	1	0	3	2	Public/Scenes/Scene_1033/Unit.txt	Public/Scenes/Scene_1033/SceneLogic.txt	Public/Scenes/Scene_1033/Story.dsl	ChengWai_02	Public/Scenes/MapData_1121/Scene.tmx	Public/Scenes/MapData_1121/Scene.map	16		见到驻防长官涅德泛，才知道多处防区均已失联，我们现在能做的就是固守布列斯特城，等待中央救援。	1033	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10331			8	8061	UI/AtlasPrefab/guankatu01	1		1	1	1030
#1034	3-4 继续回城	[fcfb00]第3章[-] 救世主	1	0	3	3	Public/Scenes/Scene_1034/Unit.txt	Public/Scenes/Scene_1034/SceneLogic.txt	Public/Scenes/Scene_1034/Story.dsl	YiZhan_09	Public/Scenes/MapData_1018/Scene.tmx	Public/Scenes/MapData_1018/Scene.map	16		布鲁夫竟然出现在布列斯特城外，这群低等生物究竟为何突然变的这么强大？	1034	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10341			8	8302	UI/AtlasPrefab/guankatu01	1		1	1	1030
#1035	3-5 突袭先锋军	[fcfb00]第3章[-] 救世主	1	0	3	4	Public/Scenes/Scene_1035/Unit.txt	Public/Scenes/Scene_1035/SceneLogic.txt	Public/Scenes/Scene_1035/Story.dsl	ChengWai_01	Public/Scenes/MapData_1118/Scene.tmx	Public/Scenes/MapData_1118/Scene.map	16		圣卫军先锋已经抵达，他们来的比我们想象中快的多，看来这个伊娜真不简单。涅德泛长官认为要在他们尚未站稳前给予迎头痛击，我也渴望一场胜利。	1035	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10351			8	8506	UI/AtlasPrefab/guankatu01	1		1	1	1030
#1036	3-6 雨夜突袭	[fcfb00]第3章[-] 救世主	1	0	3	5	Public/Scenes/Scene_1036/Unit.txt	Public/Scenes/Scene_1036/SceneLogic.txt	Public/Scenes/Scene_1036/Story.dsl	TLPM_YingDi_01_3	Public/Scenes/MapData_1024/Scene.tmx	Public/Scenes/MapData_1024/Scene.map	16		这是一场酣畅淋漓的战斗，我们在默默计算各自获得的人头数，希望加起来就是整支圣卫军……	1036	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10361			8	8710	UI/AtlasPrefab/guankatu01	1		1	1	1030
#1037	3-7 斩杀朱洛夫	[fcfb00]第3章[-] 救世主	1	0	3	6	Public/Scenes/Scene_1037/Unit.txt	Public/Scenes/Scene_1037/SceneLogic.txt	Public/Scenes/Scene_1037/Story.dsl	YiZhan_Boss_01	Public/Scenes/MapData_1020/Scene.tmx	Public/Scenes/MapData_1020/Scene.map	16		这次的行动异常成功，我们甚至干掉了他们的先锋军官，那个叫朱洛夫的大块头。如果不是忽伦要求大家立刻回城，我们真应该坐下来，整桶整桶的喝啤酒。	1037	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10371			8	8903	UI/AtlasPrefab/guankatu01	1	103704	1	1	1030
#1038	3-8 敌人的反击	[fcfb00]第3章[-] 救世主	1	0	3	7	Public/Scenes/Scene_1038/Unit.txt	Public/Scenes/Scene_1038/SceneLogic.txt	Public/Scenes/Scene_1038/Story.dsl	ChengWai_01	Public/Scenes/MapData_1118/Scene.tmx	Public/Scenes/MapData_1118/Scene.map	16		果然如忽伦所料，圣卫军发动了全面进攻，布列斯特城瞬间就被围了起来，而敌 人，却如潮水一般涌过来……	1038	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10381			8	9109	UI/AtlasPrefab/guankatu01	1		1	1	1030
#1039	3-9 救世主现身	[fcfb00]第3章[-] 救世主	1	0	3	8	Public/Scenes/Scene_1039/Unit.txt	Public/Scenes/Scene_1039/SceneLogic.txt	Public/Scenes/Scene_1039/Story.dsl	WangGuoJun_ChengZhen_02	Public/Scenes/MapData_1120/Scene.tmx	Public/Scenes/MapData_1120/Scene.map	16		就在我们以为撑不住的时候，萨菲勒将军带着援军从天而降，把这群疯狗打得落花流水，将士们都激动的呼喊“救世主”！	1039	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10391			8	9205	UI/AtlasPrefab/guankatu01	1		1	1	1030
#第四章																															
#1041	4-1 声东击西	[fcfb00]第4章[-] 隐 患	1	0	4	0	Public/Scenes/Scene_1041/Unit.txt	Public/Scenes/Scene_1041/SceneLogic.txt	Public/Scenes/Scene_1041/Story.dsl	YiZhan_07	Public/Scenes/MapData_1016/Scene.tmx	Public/Scenes/MapData_1016/Scene.map	16		故事还在继续……	1041	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10411			8	10322	UI/AtlasPrefab/guankatu01	1		1	1	1040
#1042	4-2 攻破Ⅰ	[fcfb00]第4章[-] 隐 患	1	0	4	1	Public/Scenes/Scene_1042/Unit.txt	Public/Scenes/Scene_1042/SceneLogic.txt	Public/Scenes/Scene_1042/Story.dsl	PuBu_01	Public/Scenes/MapData_1026/Scene.tmx	Public/Scenes/MapData_1026/Scene.map	16		故事还在继续……	1042	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10421			8	10930	UI/AtlasPrefab/guankatu01	1	104221	1	1	1040
#1043	4-3 攻破Ⅱ	[fcfb00]第4章[-] 隐 患	1	0	4	2	Public/Scenes/Scene_1043/Unit.txt	Public/Scenes/Scene_1043/SceneLogic.txt	Public/Scenes/Scene_1043/Story.dsl	YeWaiFangYu_01	Public/Scenes/MapData_1027/Scene.tmx	Public/Scenes/MapData_1027/Scene.map	16		故事还在继续……	1043	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10431			8	11329	UI/AtlasPrefab/guankatu01	1		1	1	1040
#1044	4-4 追踪布鲁夫Ⅰ	[fcfb00]第4章[-] 隐 患	1	0	4	3	Public/Scenes/Scene_1044/Unit.txt	Public/Scenes/Scene_1044/SceneLogic.txt	Public/Scenes/Scene_1044/Story.dsl	YiZhan_09	Public/Scenes/MapData_1018/Scene.tmx	Public/Scenes/MapData_1018/Scene.map	16		故事还在继续……	1044	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10441			8	11887	UI/AtlasPrefab/guankatu01	1		1	1	1040
#1045	4-5 追踪布鲁夫Ⅱ	[fcfb00]第4章[-] 隐 患	1	0	4	4	Public/Scenes/Scene_1045/Unit.txt	Public/Scenes/Scene_1045/SceneLogic.txt	Public/Scenes/Scene_1045/Story.dsl	YiZhan_05	Public/Scenes/MapData_1014/Scene.tmx	Public/Scenes/MapData_1014/Scene.map	16		故事还在继续……	1045	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10451			8	12432	UI/AtlasPrefab/guankatu01	1		1	1	1040
#1046	4-6 追踪布鲁夫Ⅲ	[fcfb00]第4章[-] 隐 患	1	0	4	5	Public/Scenes/Scene_1046/Unit.txt	Public/Scenes/Scene_1046/SceneLogic.txt	Public/Scenes/Scene_1046/Story.dsl	YiZhan_06	Public/Scenes/MapData_1015/Scene.tmx	Public/Scenes/MapData_1015/Scene.map	16		故事还在继续……	1046	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10461			8	12887	UI/AtlasPrefab/guankatu01	1		1	1	1040
#1047	4-7 布鲁夫王	[fcfb00]第4章[-] 隐 患	1	0	4	6	Public/Scenes/Scene_1047/Unit.txt	Public/Scenes/Scene_1047/SceneLogic.txt	Public/Scenes/Scene_1047/Story.dsl	YiZhan_Boss_02	Public/Scenes/MapData_1021/Scene.tmx	Public/Scenes/MapData_1021/Scene.map	16		故事还在继续……	1047	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10471			8	13312	UI/AtlasPrefab/guankatu01	1	104721	1	1	1040
#1048	4-8 影刃奇袭	[fcfb00]第4章[-] 隐 患	1	0	4	7	Public/Scenes/Scene_1048/Unit.txt	Public/Scenes/Scene_1048/SceneLogic.txt	Public/Scenes/Scene_1048/Story.dsl	YiZhan_03	Public/Scenes/MapData_1012/Scene.tmx	Public/Scenes/MapData_1012/Scene.map	16		故事还在继续……	1048	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10481			8	17881	UI/AtlasPrefab/guankatu01	1		1	1	1040
#1049	4-9 突袭回城	[fcfb00]第4章[-] 隐 患	1	0	4	8	Public/Scenes/Scene_1049/Unit.txt	Public/Scenes/Scene_1049/SceneLogic.txt	Public/Scenes/Scene_1049/Story.dsl	YiZhan_04	Public/Scenes/MapData_1013/Scene.tmx	Public/Scenes/MapData_1013/Scene.map	16		故事还在继续……	1049	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10491			8	19099	UI/AtlasPrefab/guankatu01	1		1	1	1040
#第五章																															
#1051	5—1	[fcfb00]第5章[-] 霜月弯刀	1	0	5	0	Public/Scenes/Scene_1051/Unit.txt	Public/Scenes/Scene_1051/SceneLogic.txt	Public/Scenes/Scene_1051/Story.dsl	ChengWai_01	Public/Scenes/MapData_1118/Scene.tmx	Public/Scenes/MapData_1118/Scene.map	16		故事还在继续……	1051	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10511			8	21637	UI/AtlasPrefab/guankatu01	1		1	1	1050
#1052	5—2	[fcfb00]第5章[-] 霜月弯刀	1	0	5	1	Public/Scenes/Scene_1052/Unit.txt	Public/Scenes/Scene_1052/SceneLogic.txt	Public/Scenes/Scene_1052/Story.dsl	YeWaiFangYu_01	Public/Scenes/MapData_1027/Scene.tmx	Public/Scenes/MapData_1027/Scene.map	16		故事还在继续……	1052	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10521			8	22526	UI/AtlasPrefab/guankatu01	1	105206	1	1	1050
#1053	5—3	[fcfb00]第5章[-] 霜月弯刀	1	0	5	2	Public/Scenes/Scene_1053/Unit.txt	Public/Scenes/Scene_1053/SceneLogic.txt	Public/Scenes/Scene_1053/Story.dsl	DuWuSenLin_01	Public/Scenes/MapData_1025/Scene.tmx	Public/Scenes/MapData_1025/Scene.map	16		故事还在继续……	1053	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10531			8	23404	UI/AtlasPrefab/guankatu01	1		1	1	1050
#1054	5—4	[fcfb00]第5章[-] 霜月弯刀	1	0	5	3	Public/Scenes/Scene_1054/Unit.txt	Public/Scenes/Scene_1054/SceneLogic.txt	Public/Scenes/Scene_1054/Story.dsl	DuWuSenLin_02	Public/Scenes/MapData_1028/Scene.tmx	Public/Scenes/MapData_1028/Scene.map	16		故事还在继续……	1054	Sound/Scene/amb_01		Sound/Scene/Open_Hostilities_master3	0.7	10541			8	25280	UI/AtlasPrefab/guankatu01	1		1	1	1050
#1055	5—5	[fcfb00]第5章[-] 霜月弯刀	1	0	5	4	Public/Scenes/Scene_1055/Unit.txt	Public/Scenes/Scene_1055/SceneLogic.txt	Public/Scenes/Scene_1055/Story.dsl	ShengKuiChengWai_01	Public/Scenes/MapData_1313/Scene.tmx	Public/Scenes/MapData_1313/Scene.map	16		故事还在继续……	1055	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10551			8	25845	UI/AtlasPrefab/guankatu01	1		1	1	1050
#1056	5—6	[fcfb00]第5章[-] 霜月弯刀	1	0	5	5	Public/Scenes/Scene_1056/Unit.txt	Public/Scenes/Scene_1056/SceneLogic.txt	Public/Scenes/Scene_1056/Story.dsl	ShengKuiChengWai_02	Public/Scenes/MapData_1314/Scene.tmx	Public/Scenes/MapData_1314/Scene.map	16		故事还在继续……	1056	Sound/Scene/amb_01		Sound/Scene/MainForce_master3	0.7	10561			8	26407	UI/AtlasPrefab/guankatu01	1		1	1	1050
