Id	Describe	ActionList	MaxControlTime	MaxControlEvent	MaxControlEventPlus	GetUpEvent
200101	银盾剑盾兵	200101|200102|200103|200104|200105|200106|200107				
200201	银盾长枪兵	200201|200202|200203|200204|200205|200206|200207|200208|200209|2002010				
200301	影刃双刀兵	200301|200302|200303|200304|200305|200306|200307|200308|200309|200310|200311|200312				
200401	影刃单刀兵	200401|200402|200403|200404|200405|200406|200407|200408|200409				
200501	托赖辟玛冰法师	200501|200502|200503|200504|200505|200506				
200601	托赖辟玛火法师	200601|200602|200603|200604|200605|200606				
200701	托赖辟玛召唤师	200701|200702|200703|200704|200705|200706				
200801	托赖辟玛巫师	200801|200802|200803|200804|200805|200806				
##						
300001	骷髅剑盾E4-3	300005|300006|300007|300001|300002|300003|300004				
300002	骷髅骨棒E4-3	300016|300015|300011|300012|300013|300014				
300003	王国军不追人激光枪兵	300031|300033|300032				
300004	萨菲勒黑洞周期脉冲	300051				
300005	萨菲勒	300067|300066|300065|300064|300063|300062|300061|300060|300059|300058|300057|300056|300055|300054|300053	6000	399992|300052		
300006	炎兽	300091|300090|300089|300088|300087|300086|300081|300085|300084|300083|300082				
300007	骷髅将军法阵	300101				
300008	骷髅将军精英4-2	300102|300106|300109|300108|300107|300105|300104|300103	6000	399992|400002		
300051	古斯兰玛	300512|300511|300510|300509|300508|300504|300507|300506|300505|300503|300502	6000	399992|400002|300501		
300052	朱洛夫	300541|300540|300539|300538|300537|300536|300535|300532|300534|300533|300531|300530	8000	399992|400002		
300053	巨石怪	300557|300556|300555|300554|300553|300552|300551				
300054	水晶爆破矿工	300576|300575|300574|300573|300572|300571				
300055	沙漠虫子怪	300607|300606|300605|300604|300603|300602|300601				
300056	紫衣女飞贼	300621|300622|400001|300623|300624|300625|300626|300627|300628|300629				
300057	朱罗夫霸体版	300653|300652|300651|300650|300649|300648|300647|300646|300645|300644|300643|300642|300641	5000	399992|400002		
300058	巨石怪2-3特别定制版	300562|300557|300560|300559|300561|300555|300558				
300059	圣卫军长矛兵新版	300678|300677|300676|300675|300674|300673|300672|300671				
300060	精英2-3鼠人	300698|300697|300696|300695|300694|300693|300692|300691	5000	399992|400002		
300061	圣卫军飞轮兵新版	300719|300718|300717|300716|300715|300714|300713|300712|300711	5000	300720|300721|300722		
300062	2-7骨斧狼人	300736|300735|300734|300733|300732|300731|300737	6000	399992|400002		
300063	哥布林酋长	300761|300760|300759|300758|300757|300756|300755|300754|300753|300752|300751	6000	399992|400002		
300064	剧情关狂战士	300779|300778|300777|300776|300776|300775|300774|300773|300772|300771	6000	399992|400002|300780		
300065	人鱼王子（npcconfig里必须有380614技能才能用此ai）	300794|300793|300792|300791|199801|199802|199803|199804|199805|199806	3000	399992|400002		
399995	圣卫军飞轮兵新版	399809|399806|399805|399804|399803|399802|399801	5000	399992|400002|399808|399807		
399996	圣卫军长矛伙伴	399858|399857|399856|399855|399854|399853|399852|399851	5000	399992|400002		
399997	剑盾兵伙伴ai	399918|399917|399916|399915|399914|399913|399912|399911	5000	399992|400002		
399998	齿刃哥布林伙伴AI	399938|399937|399936|399935|399934|399933|399932|399931	5000	399992|400002		
399999	狂战士伙伴AI	399959|399957|399955|399954|399953|399952|399956|399958|399960|399951	5000	399992|400002		
400000	席列伙伴AI	399994|399999|400000|399997|399998|399996|399995	1500	399992|400002|399993		
