Id	Describe	ActionType	ActionParam	DisMin	DisMax	TargetHpMin	TargetHpMax	SelfHpMin	SelfHpMax	Cooldown	Weight	LastTime	CanInterrupt
101213	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.8	0.35	FALSE
101221	后退	7	0	2.9	5	-1	-1	-1	-1	1	1	0.68	FALSE
101231	攻击	4	300105	4.9	7	-1	-1	-1	-1	4	0.8	0.5	FALSE
101232	嘲讽	5	0	4.9	7	-1	-1	-1	-1	6	0.2	1.5	FALSE
101233	绕圈	7	90	4.9	7	-1	-1	-1	-1	12	0.4	1	FALSE
101234	绕圈	7	270	4.9	7	-1	-1	-1	-1	12	0.4	1.5	FALSE
101235	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.2	1	FALSE
101236	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.8	1	FALSE
101241	攻击	4	300105	6.9	10	-1	-1	-1	-1	4	0.4	0.5	FALSE
101242	嘲讽	5	0	6.9	10	-1	-1	-1	-1	6	0.2	1.5	FALSE
101243	绕圈	7	90	6.9	10	-1	-1	-1	-1	12	0.4	1	FALSE
101244	绕圈	7	270	6.9	10	-1	-1	-1	-1	12	0.4	1.5	FALSE
101245	站立	5	0	6.9	10	-1	-1	-1	-1	1	0.2	1	FALSE
101246	前进走	2	0	6.9	10	-1	-1	-1	-1	1	0.2	2	FALSE
101251	嘲讽	5	0	9.9	30	-1	-1	-1	-1	6	0.2	1.5	FALSE
101252	站立	5	0	9.9	30	-1	-1	-1	-1	1	0.2	0.5	FALSE
101253	前进	3	0	9.9	30	-1	-1	-1	-1	1	0.8	0.68	FALSE
101291	修补攻击	4	300105	0	30	-1	-1	-1	-1	1	0.1	0.5	FALSE
101292	修补攻击	4	300125	0	30	-1	-1	-1	-1	1	0.1	0.5	FALSE
##布鲁夫精英													
101301	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.6	FALSE
101311	攻击	4	300102	1.9	3	-1	-1	-1	-1	4	0.7	0.5	FALSE
101312	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.7	2	FALSE
101313	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.5	0.4	FALSE
101321	风车	4	300101	2.9	5	-1	-1	-1	-1	10	1	0.5	FALSE
101322	后退	7	0	2.9	5	-1	-1	-1	-1	1	0.1	0.4	FALSE
101323	前进	3	0	2.9	5	-1	-1	-1	-1	1	0.7	0.4	FALSE
101331	风车	4	300101	4.9	7	-1	-1	-1	-1	10	0.7	1.5	FALSE
101332	嘲讽	5	0	4.9	7	-1	-1	-1	-1	12	0.8	2	FALSE
101333	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.3	2	FALSE
101334	前进走	2	0	4.9	7	-1	-1	-1	-1	1	0.5	1	FALSE
101335	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.2	0.4	FALSE
101341	嘲讽	5	0	6.9	30	-1	-1	-1	-1	6	0.1	2	FALSE
101342	站立	5	0	6.9	30	-1	-1	-1	-1	1	0.2	2	FALSE
101343	前进	3	0	6.9	30	-1	-1	-1	-1	1	0.8	0.4	FALSE
101397	反击螺旋	4	300117	0	30	-1	-1	-1	-1	0	1	5	FALSE
101398	清除自身buff	6	88889	0	30					0	1	5	FALSE
101399	霸体保护	6	40000004	0	30					0	1	5	FALSE
##纵火布鲁夫													
101401	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.68	FALSE
101411	嘲讽	5	0	1.9	3	-1	-1	-1	-1	4	0.2	0.5	FALSE
101412	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.2	0.5	FALSE
101413	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.8	0.35	FALSE
101421	后退	7	0	2.9	5	-1	-1	-1	-1	1	1	0.68	FALSE
101431	攻击	4	300106	4.9	7	-1	-1	-1	-1	4	0.6	0.5	FALSE
101432	嘲讽	5	0	4.9	7	-1	-1	-1	-1	6	0.2	1.5	FALSE
101433	绕圈	7	90	4.9	7	-1	-1	-1	-1	12	0.4	1	FALSE
101434	绕圈	7	270	4.9	7	-1	-1	-1	-1	12	0.4	1.5	FALSE
101435	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.2	1	FALSE
101436	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.8	1	FALSE
101441	攻击	4	300106	6.9	10	-1	-1	-1	-1	4	0.3	0.5	FALSE
101442	嘲讽	5	0	6.9	10	-1	-1	-1	-1	6	0.2	1.5	FALSE
101443	绕圈	7	90	6.9	10	-1	-1	-1	-1	12	0.4	1	FALSE
101444	绕圈	7	270	6.9	10	-1	-1	-1	-1	12	0.4	1.5	FALSE
101445	站立	5	0	6.9	10	-1	-1	-1	-1	1	0.2	1	FALSE
101446	前进走	2	0	6.9	10	-1	-1	-1	-1	1	0.2	2	FALSE
101451	嘲讽	5	0	9.9	30	-1	-1	-1	-1	6	0.2	1.5	FALSE
101452	站立	5	0	9.9	30	-1	-1	-1	-1	1	0.2	0.5	FALSE
101453	前进	3	0	9.9	30	-1	-1	-1	-1	1	0.8	0.68	FALSE
101491	修补攻击	4	300106	0	30	-1	-1	-1	-1	1	0.1	0.5	FALSE
101492	修补攻击	4	300124	0	30	-1	-1	-1	-1	1	0.1	0.5	FALSE
##利爪狼人													
102101	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.5	FALSE
102111	突进攻击	4	300201	1.9	3	-1	-1	-1	-1	10	0.6	0.5	FALSE
102112	攻击	4	300202	1.9	3	-1	-1	-1	-1	4	0.7	0.5	FALSE
102113	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.7	2	FALSE
102114	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.5	0.33	FALSE
102121	突进攻击	4	300201	2.9	5	-1	-1	-1	-1	10	1	0.5	FALSE
102122	后退	7	0	2.9	5	-1	-1	-1	-1	1	0.1	0.33	FALSE
102123	前进	3	0	2.9	5	-1	-1	-1	-1	1	0.7	0.33	FALSE
102131	突进攻击	4	300201	4.9	7	-1	-1	-1	-1	10	0.7	0.5	FALSE
102132	嘲讽	5	0	4.9	7	-1	-1	-1	-1	12	0.8	2	FALSE
102133	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.3	2	FALSE
102134	前进走	2	0	4.9	7	-1	-1	-1	-1	1	0.5	1	FALSE
102135	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.2	0.33	FALSE
102141	嘲讽	5	0	6.9	30	-1	-1	-1	-1	6	0.1	2	FALSE
102142	站立	5	0	6.9	30	-1	-1	-1	-1	1	0.2	2	FALSE
102143	前进	3	0	6.9	30	-1	-1	-1	-1	1	0.8	0.33	FALSE
##飞斧狼人													
102201	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.5	FALSE
102211	近战攻击	4	300203	1.9	3	-1	-1	-1	-1	4	0.6	0.5	FALSE
102212	嘲讽	5	0	1.9	3	-1	-1	-1	-1	4	0.2	1	FALSE
102213	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.2	1	FALSE
102214	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.8	0.5	FALSE
102221	后退	7	0	2.9	5	-1	-1	-1	-1	1	1	0.5	FALSE
102231	攻击	4	300204	4.9	7	-1	-1	-1	-1	4	0.6	0.5	FALSE
102232	嘲讽	5	0	4.9	7	-1	-1	-1	-1	6	0.2	1	FALSE
102233	绕圈	7	90	4.9	7	-1	-1	-1	-1	12	0.4	1	FALSE
102234	绕圈	7	270	4.9	7	-1	-1	-1	-1	12	0.4	1.5	FALSE
102235	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.2	1	FALSE
102236	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.8	1	FALSE
102241	攻击	4	300204	6.9	10	-1	-1	-1	-1	4	0.3	0.5	FALSE
102242	嘲讽	5	0	6.9	10	-1	-1	-1	-1	6	0.2	1	FALSE
102243	绕圈	7	90	6.9	10	-1	-1	-1	-1	12	0.4	1	FALSE
102244	绕圈	7	270	6.9	10	-1	-1	-1	-1	12	0.4	1.5	FALSE
102245	站立	5	0	6.9	10	-1	-1	-1	-1	1	0.2	1	FALSE
102246	前进走	2	0	6.9	10	-1	-1	-1	-1	1	0.2	2	FALSE
102251	嘲讽	5	0	9.9	30	-1	-1	-1	-1	6	0.2	1	FALSE
102252	站立	5	0	9.9	30	-1	-1	-1	-1	1	0.2	1	FALSE
102253	前进	3	0	9.9	30	-1	-1	-1	-1	1	0.8	0.68	FALSE
102291	修补攻击	4	300204	0	30	-1	-1	-1	-1	1	0.1	0.5	FALSE
##钻地鼠人													
105101	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.68	FALSE
105111	攻击	4	300501	1.9	3	-1	-1	-1	-1	4	0.7	0.5	FALSE
105112	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.8	0.5	FALSE
105113	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.3	0.35	FALSE
105121	后退	7	0	2.9	5	-1	-1	-1	-1	1	0.4	0.68	FALSE
105122	前进	3	0	2.9	5	-1	-1	-1	-1	1	0.6	0.5	FALSE
105131	翻滚	4	300502	4.9	7	-1	-1	-1	-1	6	0.7	1.5	FALSE
105132	嘲讽	5	0	4.9	7	-1	-1	-1	-1	6	0.7	1.5	FALSE
105133	绕圈	7	90	4.9	7	-1	-1	-1	-1	12	0.5	1	FALSE
105134	绕圈	7	270	4.9	7	-1	-1	-1	-1	12	0.8	1.5	FALSE
105135	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.8	1	FALSE
105136	前进走	2	0	4.9	7	-1	-1	-1	-1	1	0.2	2	FALSE
105137	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.2	1	FALSE
105141	嘲讽	5	0	6.9	30	-1	-1	-1	-1	6	0.3	1.5	FALSE
105142	站立	5	0	6.9	30	-1	-1	-1	-1	1	0.5	0.5	FALSE
105143	前进	3	0	6.9	30	-1	-1	-1	-1	1	0.5	0.68	FALSE
105191	荆棘	4	300505	0	30	-1	-1	-1	-1	20	1	1	FALSE
105192	修补攻击	4	300501	0	30	-1	-1	-1	-1	1	0.1	1	FALSE
##瘟疫鼠人													
105201	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.68	FALSE
105211	攻击	4	300503	1.9	3	-1	-1	-1	-1	4	0.7	0.5	FALSE
105212	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.8	0.5	FALSE
105213	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.3	0.35	FALSE
105221	后退	7	0	2.9	5	-1	-1	-1	-1	1	0.4	0.68	FALSE
105222	前进	3	0	2.9	5	-1	-1	-1	-1	1	0.6	0.5	FALSE
105231	嘲讽	5	0	4.9	7	-1	-1	-1	-1	6	0.7	1.5	FALSE
105232	绕圈	7	90	4.9	7	-1	-1	-1	-1	12	0.5	1	FALSE
105233	绕圈	7	270	4.9	7	-1	-1	-1	-1	12	0.8	1.5	FALSE
105234	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.8	1	FALSE
105235	前进走	2	0	4.9	7	-1	-1	-1	-1	1	0.2	2	FALSE
105236	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.2	1	FALSE
105241	嘲讽	5	0	6.9	30	-1	-1	-1	-1	6	0.3	1.5	FALSE
105242	站立	5	0	6.9	30	-1	-1	-1	-1	1	0.5	0.5	FALSE
105243	前进	3	0	6.9	30	-1	-1	-1	-1	1	0.5	0.68	FALSE
105291	修补攻击	4	300503	0	30	-1	-1	-1	-1	1	0.1	1	FALSE
##小鼠人													
105301	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.68	FALSE
105311	攻击	4	300504	1.9	3	-1	-1	-1	-1	4	0.7	0.5	FALSE
105312	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.8	0.5	FALSE
105313	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.3	0.35	FALSE
105321	后退	7	0	2.9	5	-1	-1	-1	-1	1	0.4	0.68	FALSE
105322	前进	3	0	2.9	5	-1	-1	-1	-1	1	0.6	0.5	FALSE
105331	嘲讽	5	0	4.9	7	-1	-1	-1	-1	6	0.7	1.5	FALSE
105332	绕圈	7	90	4.9	7	-1	-1	-1	-1	12	0.5	1	FALSE
105333	绕圈	7	270	4.9	7	-1	-1	-1	-1	12	0.8	1.5	FALSE
105334	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.8	1	FALSE
105335	前进走	2	0	4.9	7	-1	-1	-1	-1	1	0.2	2	FALSE
105336	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.2	1	FALSE
105341	嘲讽	5	0	6.9	30	-1	-1	-1	-1	6	0.3	1.5	FALSE
105342	站立	5	0	6.9	30	-1	-1	-1	-1	1	0.5	0.5	FALSE
105343	前进	3	0	6.9	30	-1	-1	-1	-1	1	0.5	0.68	FALSE
105391	修补攻击	4	300504	0	30	-1	-1	-1	-1	1	0.1	1	FALSE
##独眼巨人大锤													
107101	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.6	FALSE
107111	攻击	4	300701	1.9	3	-1	-1	-1	-1	4	0.7	0.5	FALSE
107112	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.7	2	FALSE
107113	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.5	0.4	FALSE
107121	风车	4	300702	2.9	5	-1	-1	-1	-1	10	1	0.5	FALSE
107122	后退	7	0	2.9	5	-1	-1	-1	-1	1	0.1	0.4	FALSE
107123	前进	3	0	2.9	5	-1	-1	-1	-1	1	0.7	0.4	FALSE
107131	风车	4	300702	4.9	7	-1	-1	-1	-1	10	0.7	1.5	FALSE
107132	嘲讽	5	0	4.9	7	-1	-1	-1	-1	12	0.8	2	FALSE
107133	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.3	2	FALSE
107134	前进走	2	0	4.9	7	-1	-1	-1	-1	1	0.5	1	FALSE
107135	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.2	0.4	FALSE
107141	嘲讽	5	0	6.9	30	-1	-1	-1	-1	6	0.1	2	FALSE
107142	站立	5	0	6.9	30	-1	-1	-1	-1	1	0.2	2	FALSE
107143	前进	3	0	6.9	30	-1	-1	-1	-1	1	0.8	0.4	FALSE
##独眼巨人大石													
107201	后退	7	0	0	2	-1	-1	-1	-1	0	1	0.5	FALSE
107211	近战攻击	4	300703	1.9	3	-1	-1	-1	-1	4	0.6	0.5	FALSE
107212	嘲讽	5	0	1.9	3	-1	-1	-1	-1	4	0.2	1	FALSE
107213	站立	5	0	1.9	3	-1	-1	-1	-1	1	0.2	1	FALSE
107214	后退	7	180	1.9	3	-1	-1	-1	-1	1	0.8	0.5	FALSE
107221	后退	7	0	2.9	5	-1	-1	-1	-1	1	1	0.5	FALSE
107231	攻击	4	300704	4.9	7	-1	-1	-1	-1	4	0.6	0.5	FALSE
107232	嘲讽	5	0	4.9	7	-1	-1	-1	-1	6	0.2	1	FALSE
107233	绕圈	7	90	4.9	7	-1	-1	-1	-1	12	0.4	1	FALSE
107234	绕圈	7	270	4.9	7	-1	-1	-1	-1	12	0.4	1.5	FALSE
107235	站立	5	0	4.9	7	-1	-1	-1	-1	1	0.2	1	FALSE
107236	后退	7	0	4.9	7	-1	-1	-1	-1	1	0.8	1	FALSE
107241	攻击	4	300704	6.9	10	-1	-1	-1	-1	4	0.3	0.5	FALSE
107242	嘲讽	5	0	6.9	10	-1	-1	-1	-1	6	0.2	1	FALSE
107243	绕圈	7	90	6.9	10	-1	-1	-1	-1	12	0.4	1	FALSE
107244	绕圈	7	270	6.9	10	-1	-1	-1	-1	12	0.4	1.5	FALSE
107245	站立	5	0	6.9	10	-1	-1	-1	-1	1	0.2	1	FALSE
107246	前进走	2	0	6.9	10	-1	-1	-1	-1	1	0.2	2	FALSE
107251	嘲讽	5	0	9.9	30	-1	-1	-1	-1	6	0.2	1	FALSE
107252	站立	5	0	9.9	30	-1	-1	-1	-1	1	0.2	1	FALSE
107253	前进	3	0	9.9	30	-1	-1	-1	-1	1	0.8	0.68	FALSE
107291	修补攻击	4	300704	0	30	-1	-1	-1	-1	1	0.1	0.5	FALSE
##RA太阳神													
199601	黄色	4	-199601|-199602	0	30	-1	-1	0	1	1	1	20	FALSE
199602	变灯1	4	-199603|-199605	0	30	-1	-1	0	1	1	1	20	FALSE
199603	变灯2	4	-199604|-199606	0	30	-1	-1	0	0.5	1	0.8	20	FALSE
199604	站立	1	0	0	30	-1	-1	0	1	1	1	3	FALSE
##人鱼王子伙伴													
199701	波浪	4	380611	0	30	-1	-1	-1	-1	15	1	3	FALSE
199702	闪身	4	380605	0	30	-1	-1	-1	-1	1	1	3	FALSE
199703	普攻	4	380601	0	30	-1	-1	-1	-1	1	1	1	FALSE
199704	普攻连击	4	380603	0	30	-1	-1	-1	-1	15	1	3	FALSE
199705	闪身普攻	4	380602	0	30	-1	-1	-1	-1	15	1	3	FALSE
199706	闪身-远	4	380604	0	30	-1	-1	-1	-1	1	1	1	FALSE
199707	冲刺	4	380609	0	30	-1	-1	-1	-1	15	1	1	FALSE
199708	普攻	4	380601	0	30	-1	-1	-1	-1	1	1	1	FALSE
199709	靠近敌人	3	0	5	30	-1	-1	-1	-1	1	1	1	FALSE
199710	后退	7	0	0	2.1	-1	-1	-1	-1	1	1	1	FALSE
##人鱼王子													
199801	<15%	4	-199801	0	30	-1	-1	0	0.15	1	1	20	FALSE
199802	<30%	4	-199802	0	30	-1	-1	0.14	0.3	1	1	20	FALSE
199803	<50%	4	-199803	0	30	-1	-1	0.29	0.5	1	1	20	FALSE
199804	<70%	4	-199804	0	30	-1	-1	0.49	0.7	1	1	20	FALSE
199805	<85%	4	-199805	0	30	-1	-1	0.69	0.85	1	1	20	FALSE
199806	正常combol	4	-199806	0	30	-1	-1	0.84	1	1	1	20	FALSE
199807	站立	1	0	0	30	-1	-1	0	1	1	1	3	FALSE
##忽仑													
199901	跳砸连招	4	380328	5	8	-1	-1	-1	-1	15	1	3	FALSE
199902	重砸	4	380327	2	8	-1	-1	-1	-1	15	1	3	FALSE
199903	龙卷风	4	380326	2	6	-1	-1	-1	-1	15	1	1	FALSE
199904	跳砸连招	4	380318	5	8	-1	-1	-1	-1	15	1	3	FALSE
199905	重砸	4	380317	2	8	-1	-1	-1	-1	15	1	3	FALSE
199906	龙卷风	4	380316	2	6	-1	-1	-1	-1	15	1	1	FALSE
199907	普攻	4	380312	2	5.1	-1	-1	-1	-1	1	1	1	FALSE
199908	普攻终结	4	380313	2	5.1	-1	-1	-1	-1	1	1	1	FALSE
199909	靠近敌人	3	0	5	30	-1	-1	-1	-1	1	1	1	FALSE
199910	后退	7	0	0	2.1	-1	-1	-1	-1	1	1	1	FALSE
##													
## 200000-299999  王国军、托赖辟玛、伊娜、茱儿…… 													
##													
# 伊娜（初见伊娜）													
210001	普攻	4	-200001	0	30					0	0.2	2	FALSE
210002	普攻	4	-200001	0	3					0	0.3	5	FALSE
210003	旋风	4	400301	0	3					0	0.1	5	FALSE
210004	小突刺	4	400101	0	5					3	0.2	3	FALSE
210005	后冲	4	400402	0	3						0.9	3	FALSE
210006	飞镖	4	400501	8	30					1	0.4	3	FALSE
210007	左右冲	4	400403|400404	5	30					0	0.5	3	FALSE
210008	前冲	4	400401	5	30					3	0.8	3	FALSE
210101	清除自身buff	6	88889	0	30					0	1	5	FALSE
210102	霸体保护	6	40000004	0	30					0	1	5	FALSE
210103	防御秒反击	4	4006012	0	30					0	1	5	FALSE
210104	防御反击	4	4006011	0	30					0	1	5	FALSE
210105	防御	4	400601	0	30					0	1	5	FALSE
# 伊娜													
211001	普攻	4	-200002	0	30					0	0.1	2	FALSE
211002	普攻	4	-200002|-200003|-200004|-200005	0	3					0	0.3	5	FALSE
211003	旋风	4	400301	0	3					0	0.1	5	FALSE
211004	小突刺	4	400101	0	5					3	0.2	3	FALSE
211005	后冲	4	400402	0	3						0.9	3	FALSE
211006	大突刺	4	400201	6.5	30					1	0.3	3	FALSE
211007	飞镖	4	400501	6.5	30					1	0.4	3	FALSE
211008	左右冲	4	400403|400404	5	30					0	0.5	3	FALSE
211009	前冲	4	400401	5	30					3	0.8	3	FALSE
211101	清除自身buff	6	88889	0	30					0	1	5	FALSE
211102	霸体保护	6	40000004	0	30					0	1	5	FALSE
211103	防御2秒反击	4	4006011	0	30					0	1	5	FALSE
211104	防御1秒反击	4	4006013	0	30					0	1	5	FALSE
211105	防御0.3秒反击	4	4006014	0	30					0	1	5	FALSE
# 茱儿													
220001	普攻	4	-200001	0	30					0	0.2	2	FALSE
220002	普攻	4	-200001	0	3					0	0.3	5	FALSE
220003	旋风	4	400301	0	3					0	0.1	5	FALSE
220004	小突刺	4	400101	0	5					3	0.2	3	FALSE
220005	后冲	4	400402	0	3						0.9	3	FALSE
220006	大突刺	4	400201	5	30					5	0.2	3	FALSE
220007	飞镖	4	400501	8	30					1	0.3	3	FALSE
220008	左右冲	4	400403|400404	5	30					0	0.5	3	FALSE
220009	前冲	4	400401	5	30					3	0.8	3	FALSE
# 达克尼斯													
230001	普攻	4	420101	0	30					0	0.1	2	FALSE
230002	普攻	4	420101	0	3					5	0.3	5	FALSE
230003	重击	4	420102	0	3					5	0.2	5	FALSE
230004	追击Combo	4	-230001	0	30					3	0.2	3	FALSE
230005	影袭	4	420301	0	8					5	0.7	3	FALSE
230006	分身	4	420401	0	30					10	0.2	3	FALSE
230007	飞镖	4	420501	0	30					1	0.3	3	FALSE
230008	死亡莲华	4	420601	0	30					10	0.8	3	FALSE
# 达克尼斯分身													
231001	普攻	4	420101	0	30					0	0.2	2	FALSE
231002	普攻	4	420101	0	3					0	0.3	5	FALSE
231003	重击	4	420102	0	3					0	0.2	5	FALSE
231004	追击Combo	4	-230001	0	30					3	0.2	3	FALSE
231005	影袭	4	420301	0	8					5	0.7	3	FALSE
# 紫衣女飞贼													
240000	护盾	4	430301	0	30					20	1	2	FALSE
240001	普攻	4	-240001	0	30					0	0.2	5	FALSE
240002	普攻	4	-240001	0	4					5	0.3	5	FALSE
240003	升龙	4	430102	0	4					2	0.2	5	FALSE
240004	刃旋	4	430201	0	4					2	0.2	5	FALSE
240005	普攻3连+升龙刃	4	-240002	0	6					3	0.3	3	FALSE
240006	普攻3连+刃旋转	4	-240004	0	6					3	0.3	3	FALSE
240007	普攻3连+升龙刃+升龙刃	4	-240003	0	4					5	0.4	3	FALSE
240008	普攻3连+刃旋转+升龙刃	4	-240005	6	8					3	0.4	3	FALSE
240009	旋风	4	430202	0	6					4	0.9	3	FALSE
240010	刃旋转+升龙刃	4	-240006	6	8					2	0.3	3	FALSE
240011	刃旋转+升龙刃+升龙刃	4	-240007	6	8					3	0.5	3	FALSE
240012	刃旋转+刃旋转+升龙刃	4	-240008	6	8					5	0.8	3	FALSE
240013	清除自身buff	6	88889	0	30					0	1	5	FALSE
240014	旋风	4	430202	0	30					0	1	2	FALSE
# 蕾咪													
250001	普攻	4	-250001	0	30					0	0.1	5	FALSE
250002	普攻	4	-250001	0	4					3	0.2	5	FALSE
250003	旋转	4	430301	0	4					2	0.2	5	FALSE
250004	近距离lv3S	4	-250303|-250304	0	4					5	0.5	3	FALSE
250005	近距离lv3	4	-250301|-250302	0	4					2	0.5	3	FALSE
250006	近距离lv2S	4	-250104	0	4					5	0.6	3	FALSE
250007	近距离lv2	4	-250101|-250102|-250103	0	4					2	0.6	3	FALSE
250008	近距离lv1S	4	-250002|-250006	0	4					5	0.8	3	FALSE
250009	近距离lv1	4	-250003	0	4					2	0.8	3	FALSE
250010	小冲	4	440201	0	6					2	0.2	3	FALSE
250011	中距离lv2	4	-250104	0	6					2	0.6	3	FALSE
250012	中距离lv1	4	-250004|-250005	0	6					2	0.9	3	FALSE
250013	连击	4	440401	0	10					2	0.2	3	FALSE
250014	远距离lv3S	4	-250304	0	10					5	0.4	3	FALSE
250015	远距离lv3	4	-250303	0	10					2	0.4	3	FALSE
250016	远距离lv2S	4	-250203|-250204	0	10					5	0.8	5	FALSE
250017	远距离lv2	4	-250201|-250202	0	10					2	0.8	5	FALSE
# 狼人莱卡翁													
260001	皮毛强化	4	450301	0	30					300	1	2	FALSE
260002	利爪强化	4	450401	0	30					300	1	2	FALSE
260003	普攻	4	450101	0	30					0	0.1	5	FALSE
260004	普攻强化	4	450102	0	30					0	0.1	5	FALSE
260005	普攻	4	450101	0	3					0	0.5	5	FALSE
260006	普攻强化	4	450102	0	3					0	0.5	5	FALSE
260007	跳跃攻击	4	450201	0	10					5	0.3	5	FALSE
260008	跳跃攻击强化	4	450202	0	10					5	0.3	5	FALSE
# 银盾剑盾兵 1045													
200101	普攻或上挑	4	300403|300413	0	2.5					0	1	3	FALSE
200102	重击	4	300404	0	2.5					0	0.3	3	FALSE
200103	重击	4	300404	2.5	4					0	0.3	3	FALSE
200104	走	2	0	2	6					0	0.6	1	TRUE
200105	跑	3	0	3	6					0	1	0.5	TRUE
200106	跑	3	0	6	30					0	1	0.5	TRUE
200107	站立	1	0	4	6					0	0.2	1	TRUE
# 银盾长枪兵 1046													
200201	普攻	4	300405	0	3					0	0.6	3	FALSE
200202	轻Combo	4	-200203	0	3					0	0.6	3	FALSE
